"",BBK01.WU001A,BBK01.WU001A_FLAGS
"",CDAX price index / End 1987 = 100 / End of month,
unit,1987=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:11:14,
1994-06,174.27,
1994-07,181.37,
1994-08,186.02,
1994-09,172.24,
1994-10,175.20,
1994-11,173.04,
1994-12,176.87,
1995-01,169.53,
1995-02,175.10,
1995-03,161.62,
1995-04,168.53,
1995-05,173.58,
1995-06,174.13,
1995-07,183.03,
1995-08,183.37,
1995-09,179.58,
1995-10,175.93,
1995-11,179.30,
1995-12,181.47,
1996-01,194.88,
1996-02,193.87,
1996-03,193.63,
1996-04,193.39,
1996-05,195.83,
1996-06,200.01,
1996-07,192.98,
1996-08,197.77,
1996-09,204.40,
1996-10,204.37,
1996-11,214.38,
1996-12,217.47,
1997-01,229.12,
1997-02,243.73,
1997-03,255.74,
1997-04,256.62,
1997-05,264.45,
1997-06,279.16,
1997-07,317.59,
1997-08,285.09,
1997-09,300.37,
1997-10,273.04,
1997-11,284.95,
1997-12,301.47,
1998-01,314.55,
1998-02,333.65,
1998-03,358.88,
1998-04,360.80,
1998-05,385.43,
1998-06,400.13,
1998-07,400.02,
1998-08,334.70,
1998-09,311.18,
1998-10,322.83,
1998-11,343.90,
1998-12,343.64,
1999-01,354.47,
1999-02,341.57,
1999-03,337.39,
1999-04,364.29,
1999-05,344.69,
1999-06,363.10,
1999-07,349.38,
1999-08,357.19,
1999-09,347.58,
1999-10,367.98,
1999-11,391.41,
1999-12,445.95,
2000-01,445.21,
2000-02,506.08,
2000-03,499.99,
2000-04,486.69,
2000-05,461.09,
2000-06,449.31,
2000-07,460.77,
2000-08,463.12,
2000-09,437.41,
2000-10,443.97,
2000-11,396.27,
2000-12,396.59,
2001-01,414.59,
2001-02,384.17,
2001-03,360.41,
2001-04,381.73,
2001-05,373.26,
2001-06,368.48,
2001-07,355.94,
2001-08,321.43,
2001-09,272.65,
2001-10,289.02,
2001-11,311.71,
2001-12,319.38,
2002-01,321.06,
2002-02,317.59,
2002-03,334.21,
2002-04,316.38,
2002-05,302.56,
2002-06,279.29,
2002-07,237.79,
2002-08,238.16,
2002-09,181.34,
2002-10,204.83,
2002-11,214.18,
2002-12,188.46,
2003-01,179.89,
2003-02,167.39,
2003-03,160.20,
2003-04,190.67,
2003-05,192.07,
2003-06,205.73,
2003-07,221.81,
2003-08,223.55,
2003-09,210.34,
2003-10,234.95,
2003-11,240.05,
2003-12,252.48,
2004-01,259.30,
2004-02,258.18,
2004-03,248.60,
2004-04,254.33,
2004-05,249.22,
2004-06,256.55,
2004-07,246.85,
2004-08,239.67,
2004-09,246.50,
2004-10,250.29,
2004-11,260.53,
2004-12,268.32,
2005-01,269.10,
2005-02,276.05,
2005-03,275.69,
2005-04,261.90,
2005-05,277.14,
2005-06,286.15,
2005-07,304.73,
2005-08,302.19,
2005-09,315.92,
2005-10,307.23,
2005-11,322.86,
2005-12,335.59,
2006-01,354.28,
2006-02,364.67,
2006-03,376.00,
2006-04,377.68,
2006-05,351.74,
2006-06,349.39,
2006-07,348.99,
2006-08,359.96,
2006-09,369.87,
2006-10,385.11,
2006-11,388.03,
2006-12,407.16,
2007-01,419.85,
2007-02,416.26,
2007-03,431.48,
2007-04,456.44,
2007-05,476.83,
2007-06,482.48,
2007-07,459.72,
2007-08,459.38,
2007-09,471.60,
2007-10,484.52,
2007-11,469.62,
2007-12,478.65,
2008-01,406.94,
2008-02,403.52,
2008-03,391.13,
2008-04,411.06,
2008-05,414.20,
2008-06,375.78,
2008-07,374.48,
2008-08,373.55,
2008-09,332.07,
2008-10,279.51,
2008-11,257.34,
2008-12,266.33,
2009-01,239.60,
2009-02,212.81,
2009-03,224.85,
2009-04,260.30,
2009-05,263.71,
2009-06,257.73,
2009-07,283.77,
2009-08,293.69,
2009-09,306.86,
2009-10,292.17,
2009-11,303.22,
2009-12,320.32,
2010-01,303.33,
2010-02,302.10,
2010-03,331.65,
2010-04,329.26,
2010-05,313.44,
2010-06,313.07,
2010-07,322.99,
2010-08,312.12,
2010-09,329.00,
2010-10,348.85,
2010-11,353.66,
2010-12,368.72,
2011-01,375.09,
2011-02,384.22,
2011-03,374.45,
2011-04,394.79,
2011-05,377.73,
2011-06,381.23,
2011-07,368.64,
2011-08,302.46,
2011-09,285.00,
2011-10,316.80,
2011-11,313.93,
2011-12,304.60,
2012-01,332.18,
2012-02,352.13,
2012-03,356.61,
2012-04,345.43,
2012-05,315.64,
2012-06,321.27,
2012-07,338.31,
2012-08,347.17,
2012-09,358.75,
2012-10,362.60,
2012-11,370.32,
2012-12,380.03,
2013-01,388.70,
2013-02,389.64,
2013-03,391.56,
2013-04,392.40,
2013-05,407.33,
2013-06,388.91,
2013-07,404.77,
2013-08,398.50,
2013-09,421.41,
2013-10,443.20,
2013-11,460.21,
2013-12,466.53,
2014-01,455.15,
2014-02,474.14,
2014-03,467.04,
2014-04,465.58,
2014-05,474.47,
2014-06,469.36,
2014-07,447.74,
2014-08,450.83,
2014-09,449.76,
2014-10,444.13,
2014-11,474.80,
2014-12,468.39,
2015-01,509.65,
