"",BBK01.TQ7126,BBK01.TQ7126_FLAGS
"",Deposit takers - Total assets FSI-S260,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:19,
2005-10,6800625,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,7090505,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,7531850,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,7849717,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,7400877,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,8372741,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,8454927,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,8284659,
2013-01,8115598,
2013-04,7888571,
2013-07,7736483,
2013-10,7581662,
2014-01,7564485,
2014-04,7639656,
