"",BBK01.OECB18G,BBK01.OECB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:49,
2002-01,0.714,
2002-04,0.719,
2002-07,0.670,
2002-10,0.740,
2003-01,0.644,
2003-04,0.645,
2003-07,0.596,
2003-10,0.619,
2004-01,0.585,
2004-04,0.554,
2004-07,0.565,
2004-10,0.565,
2005-01,0.621,
2005-04,0.597,
2005-07,0.603,
2005-10,0.596,
2006-01,0.604,
2006-04,0.612,
2006-07,0.627,
2006-10,0.572,
2007-01,0.590,
2007-04,0.609,
2007-07,0.510,
2007-10,0.538,
2008-01,0.512,
2008-04,0.476,
2008-07,0.489,
2008-10,0.531,
2009-01,0.460,
2009-04,0.455,
2009-07,0.465,
2009-10,0.440,
2010-01,0.441,
2010-04,0.429,
2010-07,0.449,
2010-10,0.424,
2011-01,0.437,
2011-04,0.412,
2011-07,0.408,
2011-10,0.410,
2012-01,0.383,
2012-04,0.367,
2012-07,0.359,
2012-10,0.362,
2013-01,0.385,
2013-04,0.366,
2013-07,0.339,
2013-10,0.332,
2014-01,0.331,
2014-04,0.327,
2014-07,0.332,
