"",BBK01.OEHB07Q,BBK01.OEHB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:47,
2002-01,1.400,
2002-04,1.410,
2002-07,1.384,
2002-10,1.423,
2003-01,1.425,
2003-04,1.398,
2003-07,1.432,
2003-10,1.413,
2004-01,1.414,
2004-04,1.438,
2004-07,1.407,
2004-10,1.414,
2005-01,1.391,
2005-04,1.450,
2005-07,1.448,
2005-10,1.349,
2006-01,1.354,
2006-04,1.328,
2006-07,1.323,
2006-10,1.272,
2007-01,1.273,
2007-04,1.263,
2007-07,1.247,
2007-10,1.241,
2008-01,1.239,
2008-04,1.243,
2008-07,1.205,
2008-10,1.167,
2009-01,1.128,
2009-04,1.156,
2009-07,1.167,
2009-10,1.105,
2010-01,1.067,
2010-04,1.038,
2010-07,1.071,
2010-10,1.068,
2011-01,1.079,
2011-04,1.055,
2011-07,1.017,
2011-10,1.031,
2012-01,1.026,
2012-04,1.044,
2012-07,1.052,
2012-10,1.049,
2013-01,1.048,
2013-04,1.062,
2013-07,1.070,
2013-10,1.041,
2014-01,1.036,
2014-04,1.070,
2014-07,1.085,
