"",BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.EUR.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:10,
1974-12,20.784,
1975-01,21.805,
1975-02,23.169,
1975-03,23.328,
1975-04,24.097,
1975-05,23.807,
1975-06,23.768,
1975-07,24.571,
1975-08,26.088,
1975-09,26.755,
1975-10,27.063,
1975-11,26.514,
1975-12,25.379,
1976-01,25.349,
1976-02,26.494,
1976-03,27.510,
1976-04,28.108,
1976-05,28.334,
1976-06,29.188,
1976-07,29.022,
1976-08,29.342,
1976-09,30.177,
1976-10,30.610,
1976-11,30.426,
1976-12,28.357,
1977-01,28.862,
1977-02,29.603,
1977-03,30.447,
1977-04,30.708,
1977-05,31.319,
1977-06,31.389,
1977-07,32.276,
1977-08,31.815,
1977-09,32.755,
1977-10,33.996,
1977-11,34.659,
1977-12,34.496,
1978-01,34.707,
1978-02,35.780,
1978-03,35.386,
1978-04,34.895,
1978-05,34.507,
1978-06,35.239,
1978-07,35.101,
1978-08,36.120,
1978-09,35.993,
1978-10,37.881,
1978-11,38.542,
1978-12,36.078,
1979-01,36.453,
1979-02,37.018,
1979-03,36.754,
1979-04,36.866,
1979-05,36.711,
1979-06,37.380,
1979-07,37.644,
1979-08,37.498,
1979-09,37.875,
1979-10,39.223,
1979-11,39.620,
1979-12,37.285,
1980-01,40.054,
1980-02,42.077,
1980-03,43.338,
1980-04,43.811,
1980-05,43.913,
1980-06,44.602,
1980-07,45.381,
1980-08,47.018,
1980-09,47.457,
1980-10,47.560,
1980-11,47.866,
1980-12,45.329,
1981-01,49.082,
1981-02,48.367,
1981-03,50.092,
1981-04,52.369,
1981-05,53.563,
1981-06,54.085,
1981-07,55.080,
1981-08,56.001,
1981-09,56.024,
1981-10,56.066,
1981-11,56.275,
1981-12,54.534,
1982-01,56.809,
1982-02,58.714,
1982-03,59.457,
1982-04,60.107,
1982-05,60.538,
1982-06,61.036,
1982-07,61.174,
1982-08,61.333,
1982-09,61.998,
1982-10,62.255,
1982-11,62.989,
1982-12,59.982,
1983-01,62.138,
1983-02,62.486,
1983-03,62.486,
1983-04,61.806,
1983-05,61.415,
1983-06,61.408,
1983-07,61.117,
1983-08,60.953,
1983-09,60.727,
1983-10,61.057,
1983-11,60.798,
1983-12,59.307,
1984-01,60.186,
1984-02,61.760,
1984-03,62.312,
1984-04,62.392,
1984-05,62.005,
1984-06,62.415,
1984-07,63.313,
1984-08,64.426,
1984-09,64.199,
1984-10,64.417,
1984-11,65.126,
1984-12,62.404,
1985-01,62.704,
1985-02,64.730,
1985-03,65.521,
1985-04,65.339,
1985-05,65.098,
1985-06,66.396,
1985-07,65.898,
1985-08,66.298,
1985-09,66.229,
1985-10,67.190,
1985-11,66.973,
1985-12,66.386,
1986-01,66.809,
1986-02,67.563,
1986-03,67.370,
1986-04,67.165,
1986-05,66.389,
1986-06,65.823,
1986-07,65.369,
1986-08,65.408,
1986-09,65.014,
1986-10,65.581,
1986-11,64.751,
1986-12,61.456,
1987-01,63.021,
1987-02,64.094,
1987-03,63.906,
1987-04,62.968,
1987-05,62.873,
1987-06,63.072,
1987-07,63.058,
1987-08,62.767,
1987-09,63.602,
1987-10,65.429,
1987-11,65.535,
1987-12,63.859,
1988-01,65.040,
1988-02,66.027,
1988-03,66.122,
1988-04,66.916,
1988-05,67.509,
1988-06,68.413,
1988-07,68.151,
1988-08,68.286,
1988-09,69.910,
1988-10,70.538,
1988-11,70.672,
1988-12,69.490,
1989-01,71.176,
1989-02,71.147,
1989-03,72.193,
1989-04,73.673,
1989-05,73.375,
1989-06,75.220,
1989-07,75.495,
1989-08,76.158,
1989-09,77.576,
1989-10,78.615,
1989-11,80.463,
1989-12,80.801,
1990-01,82.768,
1990-02,84.569,
1990-03,86.374,
1990-04,88.390,
1990-05,87.955,
1990-06,89.277,
1990-07,88.851,
1990-08,90.916,
1990-09,92.275,
1990-10,93.919,
1990-11,95.636,
1990-12,92.686,
1991-01,95.128,
1991-02,98.615,
1991-03,100.644,
1991-04,102.345,
1991-05,103.410,
1991-06,106.986,
1991-07,108.013,
1991-08,107.496,
1991-09,108.985,
1991-10,111.092,
1991-11,109.993,
1991-12,109.449,
1992-01,107.238,
1992-02,106.790,
1992-03,105.409,
1992-04,104.906,
1992-05,105.998,
1992-06,107.159,
1992-07,109.194,
1992-08,108.255,
1992-09,111.537,
1992-10,112.369,
1992-11,114.356,
1992-12,114.140,
1993-01,116.328,
1993-02,118.194,
1993-03,118.237,
1993-04,119.403,
1993-05,120.317,
1993-06,118.453,
1993-07,117.595,
1993-08,118.054,
1993-09,117.595,
1993-10,117.110,
1993-11,116.551,
1993-12,116.473,
1994-01,115.623,
1994-02,117.470,
