"",BBK01.OECB08T,BBK01.OECB08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:03,
2002-01,3.485,
2002-04,3.462,
2002-07,3.432,
2002-10,3.384,
2003-01,3.288,
2003-04,3.268,
2003-07,3.223,
2003-10,3.106,
2004-01,3.061,
2004-04,3.030,
2004-07,2.977,
2004-10,3.023,
2005-01,3.761,
2005-04,3.735,
2005-07,3.692,
2005-10,3.658,
2006-01,3.610,
2006-04,3.605,
2006-07,3.618,
2006-10,3.627,
2007-01,3.560,
2007-04,3.625,
2007-07,3.621,
2007-10,3.568,
2008-01,3.544,
2008-04,3.518,
2008-07,3.563,
2008-10,3.528,
2009-01,3.488,
2009-04,3.844,
2009-07,3.762,
2009-10,3.744,
2010-01,3.730,
2010-04,3.728,
2010-07,4.211,
2010-10,4.076,
2011-01,4.294,
2011-04,4.235,
2011-07,4.194,
2011-10,4.168,
2012-01,4.152,
2012-04,4.115,
2012-07,4.092,
2012-10,4.056,
2013-01,4.588,
2013-04,4.025,
2013-07,4.014,
2013-10,3.826,
2014-01,3.788,
2014-04,3.775,
2014-07,3.951,
