"",BBK01.OEAE07Q,BBK01.OEAE07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:20,
2002-01,3.169,
2002-04,3.200,
2002-07,3.228,
2002-10,3.310,
2003-01,3.301,
2003-04,3.541,
2003-07,3.602,
2003-10,3.663,
2004-01,3.630,
2004-04,3.393,
2004-07,3.415,
2004-10,3.418,
2005-01,3.420,
2005-04,3.367,
2005-07,3.245,
2005-10,3.208,
2006-01,3.259,
2006-04,3.273,
2006-07,3.301,
2006-10,3.390,
2007-01,3.470,
2007-04,3.310,
2007-07,3.115,
2007-10,3.114,
2008-01,3.022,
2008-04,3.030,
2008-07,3.330,
2008-10,3.311,
2009-01,3.202,
2009-04,3.373,
2009-07,3.599,
2009-10,7.099,
2010-01,3.589,
2010-04,3.606,
2010-07,2.673,
2010-10,2.783,
2011-01,2.682,
2011-04,2.685,
2011-07,2.688,
2011-10,2.754,
2012-01,2.684,
2012-04,3.167,
2012-07,3.171,
2012-10,3.240,
2013-01,3.288,
2013-04,3.241,
2013-07,3.254,
2013-10,3.425,
2014-01,3.408,
2014-04,3.416,
2014-07,3.431,
