"",BBK01.OEHL09P,BBK01.OEHL09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:27,
2002-01,0.771,
2002-04,0.782,
2002-07,0.796,
2002-10,0.837,
2003-01,0.789,
2003-04,0.758,
2003-07,0.770,
2003-10,0.736,
2004-01,0.695,
2004-04,0.644,
2004-07,0.632,
2004-10,0.720,
2005-01,0.737,
2005-04,0.697,
2005-07,0.673,
2005-10,0.696,
2006-01,0.710,
2006-04,0.705,
2006-07,0.734,
2006-10,0.704,
2007-01,0.715,
2007-04,0.716,
2007-07,0.709,
2007-10,0.722,
2008-01,0.739,
2008-04,0.749,
2008-07,0.791,
2008-10,0.888,
2009-01,0.908,
2009-04,0.975,
2009-07,0.956,
2009-10,0.998,
2010-01,0.883,
2010-04,0.766,
2010-07,0.717,
2010-10,0.703,
2011-01,0.696,
2011-04,0.689,
2011-07,0.674,
2011-10,0.611,
2012-01,0.560,
2012-04,0.504,
2012-07,0.423,
2012-10,0.344,
2013-01,0.286,
2013-04,0.239,
2013-07,0.220,
2013-10,0.241,
2014-01,0.253,
2014-04,0.254,
2014-07,0.249,
