"",BBEX3.M.FJD.EUR.CM.AC.A01,BBEX3.M.FJD.EUR.CM.AC.A01_FLAGS
"",Exchange rates for the euro in Fiji / FJD 1 = EUR ... (middle),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:20,
1999-01,0.44455,comment
1999-02,0.45470,
1999-03,0.46650,
1999-04,0.48400,
1999-05,0.48390,
1999-06,0.48940,
1999-07,0.47410,
1999-08,0.47820,
1999-09,0.47900,
1999-10,0.48220,
1999-11,0.49890,
1999-12,0.50630,
2000-01,0.50550,
2000-02,0.50040,
2000-03,0.50930,
2000-04,0.52350,
2000-05,0.50550,
2000-06,0.50530,
2000-07,0.50970,
2000-08,0.51750,
2000-09,0.51160,
2000-10,0.52240,
2000-11,0.51160,
2000-12,0.49210,
2001-01,0.49080,
2001-02,0.48650,
2001-03,0.48500,
2001-04,0.48690,
2001-05,0.50740,
2001-06,0.50790,
2001-07,0.49330,
2001-08,0.49020,
2001-09,0.46630,
2001-10,0.48010,
2001-11,0.49130,
2001-12,0.48990,
2002-01,0.49820,
2002-02,0.49950,
2002-03,0.50450,
2002-04,0.49700,
2002-05,0.49710,
2002-06,0.47810,
2002-07,0.47010,
2002-08,0.47290,
2002-09,0.47060,
2002-10,0.47460,
2002-11,0.47520,
2002-12,0.46200,
2003-01,0.46050,
2003-02,0.47020,
2003-03,0.46480,
2003-04,0.46250,
2003-05,0.44680,
2003-06,0.46670,
2003-07,0.46530,
2003-08,0.47930,
2003-09,0.46800,
2003-10,0.47620,
2003-11,0.47510,
2003-12,0.46240,
2004-01,0.47240,
2004-02,0.47520,
2004-03,0.47710,
2004-04,0.47450,
2004-05,0.46070,
2004-06,0.46020,
2004-07,0.46310,
2004-08,0.46540,
2004-09,0.46280,
2004-10,0.45940,
2004-11,0.45720,
2004-12,0.44570,
2005-01,0.46100,
2005-02,0.45860,
2005-03,0.46280,
2005-04,0.46830,
2005-05,0.47510,
2005-06,0.48660,
2005-07,0.48190,
2005-08,0.47710,
2005-09,0.48610,
2005-10,0.48390,
2005-11,0.48970,
2005-12,0.48360,
2006-01,0.47830,
2006-02,0.48100,
2006-03,0.45790,
2006-04,0.45800,
2006-05,0.45130,
2006-06,0.44640,
2006-07,0.45180,
2006-08,0.45255,
2006-09,0.45490,
2006-10,0.46000,
2006-11,0.45540,comment
2006-12,0.45590,
2007-01,0.45620,
2007-02,0.45250,
2007-03,0.45530,
2007-04,0.45370,
2007-05,0.45690,
2007-06,0.46620,
2007-07,0.46080,
2007-08,0.45930,
2007-09,0.46220,
2007-10,0.46270,
2007-11,0.45020,
2007-12,0.45010,
2008-01,0.44070,
2008-02,0.44370,
2008-03,0.42290,
2008-04,0.42740,
2008-05,0.43140,
2008-06,0.42470,
2008-07,0.42330,
2008-08,0.42690,
2008-09,0.42170,
2008-10,0.43340,
2008-11,0.42440,
2008-12,0.40260,
2009-01,0.41730,
2009-02,0.42000,
2009-03,0.42060,
2009-04,0.34240,comment
2009-05,0.34270,
2009-06,0.34580,
2009-07,0.34840,
2009-08,0.35000,
2009-09,0.35190,
2009-10,0.35440,
2009-11,0.34940,
2009-12,0.36160,
2010-01,0.36910,
2010-02,0.37720,
2010-03,0.38640,
2010-04,0.39410,
2010-05,0.40490,
2010-06,0.41040,
2010-07,0.39590,
2010-08,0.40520,
2010-09,0.39290,
2010-10,0.38870,
2010-11,0.40690,
2010-12,0.41310,
2011-01,0.40110,
2011-02,0.39820,
2011-03,0.39190,
2011-04,0.38720,
2011-05,0.39900,
2011-06,0.39640,
2011-07,0.40850,
2011-08,0.40010,
2011-09,0.40090,
2011-10,0.40490,
2011-11,0.41020,
2011-12,0.42440,
2012-01,0.43170,
2012-02,0.42520,
2012-03,0.42170,
2012-04,0.42580,
2012-05,0.43310,
2012-06,0.44040,
2012-07,0.45610,
2012-08,0.44390,
2012-09,0.43680,
2012-10,0.43270,
2012-11,0.43250,
2012-12,0.42320,
2013-01,0.41440,
2013-02,0.42300,
2013-03,0.43770,
2013-04,0.42760,
2013-05,0.41360,
2013-06,0.40530,
2013-07,0.39740,
2013-08,0.39350,
2013-09,0.39800,
2013-10,0.39330,
2013-11,0.38930,
2013-12,0.38140,
2014-01,0.38580,
2014-02,0.38670,
2014-03,0.39230,
2014-04,0.39030,
2014-05,0.39620,
2014-06,0.39930,
2014-07,0.40210,
2014-08,0.40750,
2014-09,0.40570,
2014-10,0.41070,
2014-11,0.40990,
2014-12,0.41350,
2015-01,0.42890,
2015-02,0.43610,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since May 2013: Bank South Pacific, Suva2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva1999 - 2005: Westpac Banking Corporation, Suva",
"",Comment on 1999-01: Data on euro exchange rates are available from end-February 1999 onwards. The quoted value was calculated on the basis of the D-Mark exchange rate in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 2006-11: Exchange rate as of 24 November 2006.,
"","Comment on 2009-04: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = EUR 0.4346 / 0.4226  15 April 2009: FJD 1 = EUR 0.3496 / 0.3376  Calculated devaluation: 19.8% (middle rate).",
