"",BBK01.OEAH96L,BBK01.OEAH96L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:36,
2002-01,0.631,
2002-04,0.529,
2002-07,0.512,
2002-10,0.539,
2003-01,0.539,
2003-04,0.545,
2003-07,0.550,
2003-10,0.559,
2004-01,0.560,
2004-04,0.569,
2004-07,0.576,
2004-10,0.583,
2005-01,0.577,
2005-04,0.569,
2005-07,0.555,
2005-10,0.560,
2006-01,0.559,
2006-04,0.554,
2006-07,0.548,
2006-10,0.545,
2007-01,0.529,
2007-04,0.514,
2007-07,0.483,
2007-10,0.487,
2008-01,0.483,
2008-04,0.471,
2008-07,0.461,
2008-10,0.488,
2009-01,0.509,
2009-04,0.510,
2009-07,0.524,
2009-10,0.546,
2010-01,0.539,
2010-04,0.550,
2010-07,0.550,
2010-10,0.564,
2011-01,0.569,
2011-04,0.565,
2011-07,0.560,
2011-10,0.571,
2012-01,0.584,
2012-04,0.615,
2012-07,0.626,
2012-10,0.620,
2013-01,0.611,
2013-04,0.605,
2013-07,0.590,
2013-10,0.592,
2014-01,0.580,
2014-04,0.569,
2014-07,0.554,
