"",BBK01.OEXK02O,BBK01.OEXK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:06,
2002-01,-0.944,
2002-04,-0.960,
2002-07,-0.957,
2002-10,-1.048,
2003-01,-1.058,
2003-04,-1.092,
2003-07,-1.118,
2003-10,-1.133,
2004-01,-1.154,
2004-04,-1.190,
2004-07,-1.234,
2004-10,-1.256,
2005-01,0.065,
2005-04,0.068,
2005-07,0.078,
2005-10,0.095,
2006-01,0.103,
2006-04,0.106,
2006-07,0.096,
2006-10,0.088,
2007-01,0.089,
2007-04,0.088,
2007-07,0.091,
2007-10,0.080,
2008-01,0.072,
2008-04,0.069,
2008-07,0.069,
2008-10,0.060,
2009-01,0.060,
2009-04,0.074,
2009-07,0.064,
2009-10,0.070,
2010-01,0.088,
2010-04,0.081,
2010-07,0.076,
2010-10,0.077,
2011-01,0.080,
2011-04,0.102,
2011-07,0.096,
2011-10,0.108,
2012-01,0.097,
2012-04,0.094,
2012-07,0.112,
2012-10,0.124,
2013-01,0.114,
2013-04,0.120,
2013-07,0.122,
2013-10,0.122,
2014-01,0.125,
2014-04,0.127,
2014-07,0.138,
