"",BBK01.OEAM06H,BBK01.OEAM06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:42,
2002-01,0.348,
2002-04,0.389,
2002-07,0.388,
2002-10,0.358,
2003-01,0.341,
2003-04,0.317,
2003-07,0.314,
2003-10,0.314,
2004-01,0.299,
2004-04,0.314,
2004-07,0.351,
2004-10,0.341,
2005-01,0.335,
2005-04,0.346,
2005-07,0.318,
2005-10,0.318,
2006-01,0.339,
2006-04,0.357,
2006-07,0.360,
2006-10,0.363,
2007-01,0.372,
2007-04,0.381,
2007-07,0.388,
2007-10,0.398,
2008-01,0.362,
2008-04,0.370,
2008-07,0.393,
2008-10,0.378,
2009-01,0.405,
2009-04,0.378,
2009-07,0.359,
2009-10,0.347,
2010-01,0.340,
2010-04,0.330,
2010-07,0.325,
2010-10,0.324,
2011-01,0.368,
2011-04,0.418,
2011-07,0.380,
2011-10,0.415,
2012-01,0.397,
2012-04,0.387,
2012-07,0.378,
2012-10,0.358,
2013-01,0.320,
2013-04,0.337,
2013-07,0.354,
2013-10,0.344,
2014-01,0.363,
2014-04,0.366,
2014-07,0.362,
