"",BBK01.OEXL05K,BBK01.OEXL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:14,
2002-01,0.123,
2002-04,0.123,
2002-07,0.085,
2002-10,0.094,
2003-01,0.100,
2003-04,0.103,
2003-07,0.107,
2003-10,0.107,
2004-01,0.106,
2004-04,0.111,
2004-07,0.105,
2004-10,0.081,
2005-01,0.083,
2005-04,0.084,
2005-07,0.086,
2005-10,0.086,
2006-01,0.080,
2006-04,0.079,
2006-07,0.092,
2006-10,0.091,
2007-01,0.085,
2007-04,0.082,
2007-07,0.086,
2007-10,0.086,
2008-01,0.087,
2008-04,0.089,
2008-07,0.093,
2008-10,0.086,
2009-01,0.088,
2009-04,0.105,
2009-07,0.101,
2009-10,0.123,
2010-01,0.130,
2010-04,0.136,
2010-07,0.116,
2010-10,0.131,
2011-01,0.137,
2011-04,0.137,
2011-07,0.135,
2011-10,0.138,
2012-01,0.161,
2012-04,0.172,
2012-07,0.181,
2012-10,0.178,
2013-01,0.179,
2013-04,0.180,
2013-07,0.192,
2013-10,0.182,
2014-01,0.180,
2014-04,0.186,
2014-07,0.172,
