"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:42,
2009-09,9322,
2009-10,9331,
2009-11,9460,
2009-12,9488,
2010-01,9393,
2010-02,9906,
2010-03,10503,
2010-04,10711,
2010-05,10642,
2010-06,10838,
2010-07,10978,
2010-08,11343,
2010-09,11484,
2010-10,11510,
2010-11,11533,
2010-12,11655,
2011-01,11598,
2011-02,11814,
2011-03,11741,
2011-04,11794,
2011-05,12449,
2011-06,12386,
2011-07,12548,
2011-08,12303,
2011-09,12172,
2011-10,12234,
2011-11,12052,
2011-12,12195,
2012-01,12735,
2012-02,13041,
2012-03,13463,
2012-04,13564,
2012-05,13625,
2012-06,13897,
2012-07,14813,
2012-08,14712,
2012-09,14647,
2012-10,14242,
2012-11,14325,
2012-12,14406,
2013-01,13922,
2013-02,14303,
2013-03,14600,
2013-04,14814,
2013-05,14824,
2013-06,14330,
2013-07,14264,
2013-08,14226,
2013-09,14213,
2013-10,14285,
2013-11,14236,
2013-12,14087,
2014-01,14180,
2014-02,14576,
2014-03,14709,
2014-04,14636,
2014-05,14603,
2014-06,14395,
2014-07,14399,
2014-08,14511,
2014-09,14692,
2014-10,14684,
2014-11,14800,
