"",BBK01.OEAD23N,BBK01.OEAD23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:32,
2002-01,0.177,
2002-04,0.188,
2002-07,0.189,
2002-10,0.205,
2003-01,0.221,
2003-04,0.225,
2003-07,0.230,
2003-10,0.222,
2004-01,0.218,
2004-04,0.220,
2004-07,0.236,
2004-10,0.234,
2005-01,0.240,
2005-04,0.250,
2005-07,0.266,
2005-10,0.249,
2006-01,0.276,
2006-04,0.274,
2006-07,0.245,
2006-10,0.271,
2007-01,0.286,
2007-04,0.279,
2007-07,0.268,
2007-10,0.665,
2008-01,0.648,
2008-04,0.647,
2008-07,0.637,
2008-10,0.584,
2009-01,0.582,
2009-04,0.414,
2009-07,0.380,
2009-10,0.369,
2010-01,0.383,
2010-04,0.374,
2010-07,0.332,
2010-10,0.282,
2011-01,0.323,
2011-04,0.320,
2011-07,0.329,
2011-10,0.307,
2012-01,0.321,
2012-04,0.314,
2012-07,0.299,
2012-10,0.302,
2013-01,0.323,
2013-04,0.320,
2013-07,0.316,
2013-10,0.294,
2014-01,0.301,
2014-04,0.345,
2014-07,0.360,
