"",BBK01.OELI09O,BBK01.OELI09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:19,
2002-01,1.987,
2002-04,1.870,
2002-07,1.827,
2002-10,1.774,
2003-01,1.721,
2003-04,1.639,
2003-07,1.605,
2003-10,1.580,
2004-01,1.533,
2004-04,1.468,
2004-07,1.412,
2004-10,1.360,
2005-01,1.402,
2005-04,1.423,
2005-07,1.485,
2005-10,1.552,
2006-01,1.668,
2006-04,1.716,
2006-07,1.757,
2006-10,1.761,
2007-01,1.704,
2007-04,1.646,
2007-07,1.868,
2007-10,1.989,
2008-01,1.985,
2008-04,1.846,
2008-07,1.461,
2008-10,1.259,
2009-01,1.172,
2009-04,1.290,
2009-07,1.448,
2009-10,1.606,
2010-01,1.780,
2010-04,1.736,
2010-07,1.641,
2010-10,1.497,
2011-01,1.340,
2011-04,1.229,
2011-07,1.169,
2011-10,0.978,
2012-01,1.126,
2012-04,1.170,
2012-07,1.218,
2012-10,1.260,
2013-01,1.467,
2013-04,1.446,
2013-07,1.414,
2013-10,1.426,
2014-01,1.336,
2014-04,1.349,
2014-07,1.325,
