"",BBK01.OELM02G,BBK01.OELM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:32,
2002-01,0.204,
2002-04,0.211,
2002-07,0.204,
2002-10,0.280,
2003-01,0.215,
2003-04,0.239,
2003-07,0.241,
2003-10,0.336,
2004-01,0.257,
2004-04,0.303,
2004-07,0.292,
2004-10,0.353,
2005-01,0.278,
2005-04,0.288,
2005-07,0.291,
2005-10,0.319,
2006-01,0.336,
2006-04,0.420,
2006-07,0.403,
2006-10,0.319,
2007-01,0.294,
2007-04,0.327,
2007-07,0.319,
2007-10,0.390,
2008-01,0.371,
2008-04,0.342,
2008-07,0.373,
2008-10,0.457,
2009-01,0.573,
2009-04,0.760,
2009-07,0.740,
2009-10,0.743,
2010-01,0.750,
2010-04,0.765,
2010-07,0.762,
2010-10,0.707,
2011-01,0.635,
2011-04,0.684,
2011-07,0.678,
2011-10,0.779,
2012-01,0.807,
2012-04,1.017,
2012-07,1.251,
2012-10,1.327,
2013-01,1.357,
2013-04,1.349,
2013-07,1.523,
2013-10,1.397,
2014-01,1.548,
2014-04,1.951,
2014-07,1.426,
