"",BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS
"","IIP - Other Investment - Currency and deposits - Deposit taking corporations, except the Central Bank - Long-term original maturity (over 1 year) - Assets - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:03:25,
1999-10,104060,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,115994,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,137985,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,147232,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,160138,
2004-01,161618,
2004-04,155243,
2004-07,157705,
2004-10,153702,
2005-01,164251,
2005-04,183663,
2005-07,198767,
2005-10,211503,
2006-01,223788,
2006-04,232915,
2006-07,240698,
2006-10,258678,
2007-01,267820,
2007-04,278018,
2007-07,293304,
2007-10,302347,
2008-01,306696,
2008-04,317132,
2008-07,356400,
2008-10,364318,
2009-01,371967,
2009-04,383529,
2009-07,359611,
2009-10,342571,
2010-01,339836,
2010-04,341237,
2010-07,299392,
2010-10,285050,
2011-01,276996,
2011-04,277033,
2011-07,293541,
2011-10,304749,
2012-01,287898,
2012-04,287220,
2012-07,280831,
2012-10,268082,
2013-01,262308,
2013-04,253008,
2013-07,244726,
2013-10,235779,
2014-01,238215,
2014-04,235368,
2014-07,248436,
