"",BBK01.OEHO03K,BBK01.OEHO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:38,
2002-01,0.996,
2002-04,0.978,
2002-07,0.670,
2002-10,0.842,
2003-01,0.770,
2003-04,0.783,
2003-07,0.682,
2003-10,0.742,
2004-01,0.856,
2004-04,0.673,
2004-07,0.730,
2004-10,0.685,
2005-01,0.739,
2005-04,0.770,
2005-07,0.778,
2005-10,0.725,
2006-01,0.961,
2006-04,0.775,
2006-07,0.770,
2006-10,0.843,
2007-01,1.181,
2007-04,0.864,
2007-07,0.874,
2007-10,0.791,
2008-01,0.872,
2008-04,0.809,
2008-07,0.823,
2008-10,0.926,
2009-01,1.126,
2009-04,0.964,
2009-07,0.857,
2009-10,0.763,
2010-01,0.674,
2010-04,0.555,
2010-07,0.514,
2010-10,0.452,
2011-01,0.555,
2011-04,0.587,
2011-07,0.484,
2011-10,0.462,
2012-01,0.543,
2012-04,0.517,
2012-07,0.578,
2012-10,0.631,
2013-01,0.715,
2013-04,0.719,
2013-07,0.556,
2013-10,0.615,
2014-01,0.689,
2014-04,0.803,
2014-07,0.565,
