"",BBK01.DU7517,BBK01.DU7517_FLAGS
"","Pay rates, production sector (incl. construction), on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:10,
1991-01,48.0,
1991-02,48.1,
1991-03,48.1,
1991-04,51.1,
1991-05,51.2,
1991-06,50.4,
1991-07,73.7,
1991-08,51.1,
1991-09,51.1,
1991-10,51.4,
1991-11,82.7,
1991-12,51.6,
1992-01,52.0,
1992-02,52.1,
1992-03,52.1,
1992-04,56.4,
1992-05,56.6,
1992-06,56.6,
1992-07,83.3,
1992-08,57.2,
1992-09,57.2,
1992-10,57.4,
1992-11,96.0,
1992-12,57.5,
1993-01,57.6,
1993-02,57.9,
1993-03,57.9,
1993-04,59.1,
1993-05,59.3,
1993-06,60.2,
1993-07,89.0,
1993-08,60.3,
1993-09,60.4,
1993-10,60.4,
1993-11,102.6,
1993-12,60.6,
1994-01,60.7,
1994-02,60.8,
1994-03,60.7,
1994-04,61.1,
1994-05,61.2,
1994-06,61.8,
1994-07,89.6,
1994-08,62.4,
1994-09,62.5,
1994-10,62.6,
1994-11,103.4,
1994-12,62.7,
1995-01,63.9,
1995-02,64.3,
1995-03,64.6,
1995-04,65.2,
1995-05,65.1,
1995-06,65.0,
1995-07,95.5,
1995-08,65.3,
1995-09,65.3,
1995-10,65.4,
1995-11,111.0,
1995-12,66.4,
1996-01,66.4,
1996-02,66.5,
1996-03,66.5,
1996-04,66.7,
1996-05,66.8,
1996-06,67.0,
1996-07,99.2,
1996-08,67.3,
1996-09,67.4,
1996-10,67.5,
1996-11,113.0,
1996-12,67.5,
1997-01,68.3,
1997-02,68.3,
1997-03,68.3,
1997-04,68.3,
1997-05,68.4,
1997-06,68.3,
1997-07,101.1,
1997-08,68.4,
1997-09,68.4,
1997-10,68.5,
1997-11,112.7,
1997-12,68.6,
1998-01,68.6,
1998-02,68.6,
1998-03,68.8,
1998-04,69.7,
1998-05,70.1,
1998-06,69.8,
1998-07,103.3,
1998-08,69.9,
1998-09,69.9,
1998-10,70.0,
1998-11,115.1,
1998-12,70.0,
1999-01,71.5,
1999-02,71.6,
1999-03,71.4,
1999-04,71.9,
1999-05,72.7,
1999-06,72.3,
1999-07,106.4,
1999-08,72.4,
1999-09,72.4,
1999-10,72.4,
1999-11,117.2,
1999-12,72.4,
2000-01,72.5,
2000-02,72.5,
2000-03,73.4,
2000-04,73.7,
2000-05,73.8,
2000-06,73.6,
2000-07,108.9,
2000-08,73.7,
2000-09,73.8,
2000-10,73.8,
2000-11,119.9,
