"",BBK01.QUK810,BBK01.QUK810_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Countries in Africa / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:33:58,
2002-03,3.160,
2002-04,3.062,
2002-05,3.067,
2002-06,2.769,
2002-07,2.632,
2002-08,2.710,
2002-09,2.989,
2002-10,2.458,
2002-11,2.910,
2002-12,2.921,
2003-01,2.834,
2003-02,2.830,
2003-03,2.681,
2003-04,2.567,
2003-05,2.626,
2003-06,3.195,
2003-07,2.696,
2003-08,2.583,
2003-09,2.471,
2003-10,2.396,
2003-11,2.620,
2003-12,2.456,
2004-01,2.294,
2004-02,2.188,
2004-03,2.056,
2004-04,2.172,
2004-05,2.261,
2004-06,2.508,
2004-07,2.724,
2004-08,2.304,
2004-09,2.165,
2004-10,2.081,
2004-11,2.223,
2004-12,2.033,
2005-01,2.488,
2005-02,2.598,
2005-03,2.474,
2005-04,2.358,
2005-05,2.443,
2005-06,2.729,
2005-07,2.682,
2005-08,2.464,
2005-09,2.504,
2005-10,2.539,
2005-11,2.817,
2005-12,2.487,
2006-01,2.730,
2006-02,2.755,
2006-03,2.449,
2006-04,2.545,
2006-05,2.659,
2006-06,2.101,
2006-07,2.205,
2006-08,2.106,
2006-09,2.634,
2006-10,2.509,
2006-11,2.411,
2006-12,2.750,
2007-01,2.751,
2007-02,2.763,
2007-03,2.661,
2007-04,2.147,
2007-05,2.635,
2007-06,3.516,
2007-07,3.733,
2007-08,3.415,
2007-09,3.432,
2007-10,3.049,
2007-11,3.529,
2007-12,3.474,
2008-01,2.845,
2008-02,3.099,
2008-03,3.116,
2008-04,2.981,
2008-05,3.544,
2008-06,3.400,
2008-07,3.672,
2008-08,3.654,
2008-09,5.121,
2008-10,5.428,
2008-11,5.223,
2008-12,4.356,
2009-01,4.216,
2009-02,3.811,
2009-03,3.189,
2009-04,3.721,
2009-05,3.462,
2009-06,3.623,
2009-07,3.281,
2009-08,3.296,
2009-09,3.334,
2009-10,3.445,
2009-11,3.087,
2009-12,3.237,
2010-01,2.947,
2010-02,3.196,
2010-03,3.268,
2010-04,3.017,
2010-05,3.379,
2010-06,3.463,
2010-07,3.063,
2010-08,3.290,
2010-09,4.292,
2010-10,3.859,
2010-11,3.567,
2010-12,3.410,
2011-01,3.859,
2011-02,3.821,
2011-03,3.297,
2011-04,3.585,
2011-05,3.012,
2011-06,2.817,
2011-07,3.088,
2011-08,3.249,
2011-09,3.341,
2011-10,4.737,
2011-11,4.413,
2011-12,3.561,
2012-01,3.633,
2012-02,3.371,
2012-03,3.651,
2012-04,3.300,
2012-05,3.302,
2012-06,3.280,
2012-07,3.510,
2012-08,3.311,
2012-09,3.608,
2012-10,3.239,
2012-11,2.854,
2012-12,2.810,
2013-01,2.655,
2013-02,2.382,
2013-03,3.281,
2013-04,2.815,
2013-05,2.882,
2013-06,3.194,
2013-07,2.980,
2013-08,2.548,
2013-09,3.117,
2013-10,2.392,
2013-11,2.376,
2013-12,2.248,
2014-01,2.587,
2014-02,2.473,
2014-03,2.712,
2014-04,2.666,
2014-05,2.586,
2014-06,2.853,
2014-07,3.100,
2014-08,2.987,
2014-09,3.455,
2014-10,3.227,
