"",BBK01.OEBK04P,BBK01.OEBK04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:12,
2002-01,0.046,
2002-04,0.044,
2002-07,0.043,
2002-10,0.041,
2003-01,0.044,
2003-04,0.043,
2003-07,0.039,
2003-10,0.041,
2004-01,0.037,
2004-04,0.039,
2004-07,0.038,
2004-10,0.038,
2005-01,0.037,
2005-04,0.036,
2005-07,0.039,
2005-10,0.015,
2006-01,0.039,
2006-04,0.040,
2006-07,0.046,
2006-10,0.046,
2007-01,0.046,
2007-04,0.045,
2007-07,0.049,
2007-10,0.059,
2008-01,0.063,
2008-04,0.071,
2008-07,0.072,
2008-10,0.059,
2009-01,0.042,
2009-04,0.040,
2009-07,0.041,
2009-10,0.037,
2010-01,0.033,
2010-04,0.032,
2010-07,0.029,
2010-10,0.027,
2011-01,0.028,
2011-04,0.031,
2011-07,0.019,
2011-10,0.025,
2012-01,0.020,
2012-04,0.021,
2012-07,0.020,
2012-10,0.015,
2013-01,0.009,
2013-04,0.009,
2013-07,0.010,
2013-10,0.007,
2014-01,0.007,
2014-04,0.007,
2014-07,0.005,
