"",BBK01.OXA8Q9,BBK01.OXA8Q9_FLAGS
"","Stocks of loans to domestic employees and other individuals (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:32,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,39.536,
2010-07,39.997,
2010-08,39.129,
2010-09,38.606,
2010-10,38.771,
2010-11,37.647,
2010-12,37.058,
2011-01,36.150,
2011-02,35.827,
2011-03,35.798,
2011-04,35.279,
2011-05,34.768,
2011-06,34.244,
2011-07,34.623,
2011-08,34.896,
2011-09,34.711,
2011-10,34.221,
2011-11,35.054,
2011-12,34.405,
2012-01,33.819,
2012-02,33.344,
2012-03,32.772,
2012-04,31.938,
2012-05,31.342,
2012-06,30.816,
2012-07,30.272,
2012-08,29.767,
2012-09,29.201,
2012-10,28.568,
2012-11,28.729,
2012-12,28.060,
2013-01,27.388,
2013-02,27.019,
2013-03,29.012,
2013-04,28.325,
2013-05,27.849,
2013-06,28.566,
2013-07,28.836,
2013-08,28.301,
2013-09,27.564,
2013-10,26.904,
2013-11,26.451,
2013-12,25.845,
2014-01,25.207,
2014-02,24.854,
2014-03,26.262,
2014-04,28.159,
2014-05,28.037,
2014-06,27.431,
2014-07,26.830,
2014-08,26.492,
2014-09,29.158,
2014-10,28.561,
2014-11,28.297,
2014-12,27.620,Provisional value
