"",BBK01.OEAO05M,BBK01.OEAO05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:00,
2002-01,0.091,
2002-04,0.082,
2002-07,0.093,
2002-10,1.110,
2003-01,0.105,
2003-04,0.073,
2003-07,0.080,
2003-10,0.963,
2004-01,0.084,
2004-04,0.057,
2004-07,0.063,
2004-10,0.916,
2005-01,0.077,
2005-04,0.060,
2005-07,0.074,
2005-10,0.908,
2006-01,0.077,
2006-04,0.053,
2006-07,0.066,
2006-10,0.882,
2007-01,0.128,
2007-04,0.067,
2007-07,0.082,
2007-10,0.884,
2008-01,0.098,
2008-04,0.087,
2008-07,0.101,
2008-10,0.877,
2009-01,0.111,
2009-04,0.115,
2009-07,0.149,
2009-10,0.774,
2010-01,0.084,
2010-04,0.062,
2010-07,0.077,
2010-10,0.577,
2011-01,0.082,
2011-04,0.065,
2011-07,0.084,
2011-10,0.555,
2012-01,0.085,
2012-04,0.073,
2012-07,0.091,
2012-10,0.538,
2013-01,0.089,
2013-04,0.066,
2013-07,0.070,
2013-10,0.380,
2014-01,0.064,
2014-04,0.061,
2014-07,0.058,
