"",BBK01.OECL01R,BBK01.OECL01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:22,
2002-01,0.447,
2002-04,0.424,
2002-07,0.420,
2002-10,0.435,
2003-01,0.422,
2003-04,0.412,
2003-07,0.414,
2003-10,0.420,
2004-01,0.402,
2004-04,0.394,
2004-07,0.410,
2004-10,0.593,
2005-01,1.355,
2005-04,1.347,
2005-07,1.336,
2005-10,1.348,
2006-01,1.348,
2006-04,1.319,
2006-07,1.300,
2006-10,1.301,
2007-01,1.315,
2007-04,1.317,
2007-07,1.334,
2007-10,1.396,
2008-01,1.409,
2008-04,1.440,
2008-07,1.504,
2008-10,1.593,
2009-01,1.600,
2009-04,1.589,
2009-07,1.585,
2009-10,1.590,
2010-01,1.583,
2010-04,1.586,
2010-07,1.598,
2010-10,1.615,
2011-01,1.589,
2011-04,1.581,
2011-07,1.589,
2011-10,1.625,
2012-01,1.690,
2012-04,1.689,
2012-07,1.701,
2012-10,1.729,
2013-01,1.742,
2013-04,1.736,
2013-07,1.735,
2013-10,1.752,
2014-01,1.761,
2014-04,1.765,
2014-07,1.805,
