"",BBK01.OEHK01T,BBK01.OEHK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:27,
2002-01,0.457,
2002-04,0.465,
2002-07,0.493,
2002-10,0.513,
2003-01,0.484,
2003-04,0.484,
2003-07,0.497,
2003-10,0.527,
2004-01,0.504,
2004-04,0.503,
2004-07,0.506,
2004-10,0.535,
2005-01,0.508,
2005-04,0.510,
2005-07,0.527,
2005-10,0.547,
2006-01,0.500,
2006-04,0.516,
2006-07,0.538,
2006-10,0.570,
2007-01,0.540,
2007-04,0.543,
2007-07,0.546,
2007-10,0.612,
2008-01,0.546,
2008-04,0.558,
2008-07,0.589,
2008-10,0.647,
2009-01,0.600,
2009-04,0.625,
2009-07,0.628,
2009-10,0.669,
2010-01,0.632,
2010-04,0.636,
2010-07,0.659,
2010-10,0.694,
2011-01,0.666,
2011-04,0.671,
2011-07,0.693,
2011-10,0.721,
2012-01,0.685,
2012-04,0.695,
2012-07,0.740,
2012-10,0.752,
2013-01,0.717,
2013-04,0.721,
2013-07,0.766,
2013-10,0.809,
2014-01,0.783,
2014-04,0.793,
2014-07,0.835,
