"",BBSF2.M.1.T.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:51,
2009-09,516,
2009-10,521,
2009-11,515,
2009-12,515,
2010-01,316,
2010-02,316,
2010-03,333,
2010-04,363,
2010-05,381,
2010-06,384,
2010-07,367,
2010-08,367,
2010-09,292,
2010-10,293,
2010-11,302,
2010-12,310,
2011-01,312,
2011-02,309,
2011-03,444,
2011-04,355,
2011-05,371,
2011-06,700,
2011-07,715,
2011-08,697,
2011-09,757,
2011-10,578,
2011-11,570,
2011-12,580,
2012-01,585,
2012-02,616,
2012-03,612,
2012-04,605,
2012-05,599,
2012-06,606,
2012-07,611,
2012-08,617,
2012-09,401,
2012-10,396,
2012-11,412,
2012-12,420,
2013-01,361,
2013-02,351,
2013-03,366,
2013-04,421,
2013-05,193,
2013-06,193,
2013-07,196,
2013-08,200,
2013-09,277,
2013-10,310,
2013-11,691,
2013-12,689,
2014-01,909,
2014-02,920,
2014-03,972,
2014-04,983,
2014-05,992,
2014-06,989,
2014-07,1110,
2014-08,1171,
2014-09,1181,
2014-10,1209,
2014-11,220,
