"",BBK01.CEFI01,BBK01.CEFI01_FLAGS
"",Listed shares               debtor: Total                              creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:54,
1999-01,661.6,
1999-04,633.2,
1999-07,591.5,
1999-10,645.1,
2000-01,574.0,
2000-04,556.7,
2000-07,572.0,
2000-10,659.8,
2001-01,549.3,
2001-04,576.1,
2001-07,510.2,
2001-10,610.5,
2002-01,621.9,
2002-04,570.0,
2002-07,353.7,
2002-10,340.7,
2003-01,290.4,
2003-04,334.7,
2003-07,337.3,
2003-10,403.6,
2004-01,392.8,
2004-04,442.9,
2004-07,440.4,
2004-10,454.7,
2005-01,480.3,
2005-04,491.8,
2005-07,489.3,
2005-10,533.5,
2006-01,223.0,
2006-04,212.9,
2006-07,216.8,
2006-10,264.0,
2007-01,285.6,
2007-04,284.7,
2007-07,294.4,
2007-10,307.2,
2008-01,289.1,
2008-04,285.9,
2008-07,279.3,
2008-10,265.9,
2009-01,238.0,
2009-04,252.6,
2009-07,239.7,
2009-10,239.5,
2010-01,242.4,
2010-04,243.1,
2010-07,255.7,
2010-10,273.0,
2011-01,275.7,
2011-04,281.1,
2011-07,220.5,
2011-10,229.2,
2012-01,257.2,
2012-04,238.4,
2012-07,249.1,
2012-10,269.0,
2013-01,276.7,
2013-04,293.0,
2013-07,312.7,
2013-10,339.2,
2014-01,333.1,
2014-04,339.3,
2014-07,327.3,
