"",BBK01.OEXI02M,BBK01.OEXI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:36,
2002-01,8.142,
2002-04,8.009,
2002-07,8.997,
2002-10,8.790,
2003-01,8.777,
2003-04,9.763,
2003-07,10.035,
2003-10,10.669,
2004-01,11.206,
2004-04,11.223,
2004-07,12.284,
2004-10,12.837,
2005-01,11.691,
2005-04,11.436,
2005-07,12.022,
2005-10,12.131,
2006-01,12.100,
2006-04,12.394,
2006-07,11.827,
2006-10,11.927,
2007-01,11.537,
2007-04,12.231,
2007-07,11.358,
2007-10,11.974,
2008-01,12.213,
2008-04,12.684,
2008-07,11.921,
2008-10,12.822,
2009-01,16.848,
2009-04,19.019,
2009-07,19.031,
2009-10,19.508,
2010-01,20.276,
2010-04,21.199,
2010-07,21.599,
2010-10,21.235,
2011-01,21.592,
2011-04,22.031,
2011-07,22.800,
2011-10,24.323,
2012-01,24.171,
2012-04,24.730,
2012-07,26.610,
2012-10,25.733,
2013-01,26.891,
2013-04,27.620,
2013-07,27.807,
2013-10,26.954,
2014-01,27.446,
2014-04,28.659,
2014-07,29.400,
