"",BBK01.OEYB16J,BBK01.OEYB16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:53,
2002-01,0.509,
2002-04,0.507,
2002-07,0.924,
2002-10,0.996,
2003-01,0.989,
2003-04,0.902,
2003-07,0.861,
2003-10,0.843,
2004-01,0.836,
2004-04,0.823,
2004-07,0.779,
2004-10,0.763,
2005-01,0.761,
2005-04,0.734,
2005-07,0.723,
2005-10,0.705,
2006-01,0.692,
2006-04,0.686,
2006-07,0.662,
2006-10,0.631,
2007-01,0.603,
2007-04,0.589,
2007-07,0.573,
2007-10,0.560,
2008-01,0.544,
2008-04,0.530,
2008-07,0.230,
2008-10,0.244,
2009-01,0.248,
2009-04,0.238,
2009-07,0.231,
2009-10,0.227,
2010-01,0.221,
2010-04,0.226,
2010-07,0.218,
2010-10,0.210,
2011-01,0.204,
2011-04,0.204,
2011-07,0.202,
2011-10,0.196,
2012-01,0.189,
2012-04,0.186,
2012-07,0.182,
2012-10,0.175,
2013-01,0.170,
2013-04,0.167,
2013-07,0.159,
2013-10,0.153,
2014-01,0.149,
2014-04,0.116,
2014-07,0.096,
