"",BBK01.OEAA37S,BBK01.OEAA37S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:09,
2002-01,7.753,
2002-04,7.830,
2002-07,7.927,
2002-10,8.063,
2003-01,8.082,
2003-04,8.140,
2003-07,8.249,
2003-10,8.321,
2004-01,8.270,
2004-04,8.283,
2004-07,8.281,
2004-10,7.831,
2005-01,8.706,
2005-04,8.749,
2005-07,8.755,
2005-10,8.703,
2006-01,8.670,
2006-04,8.718,
2006-07,8.786,
2006-10,8.856,
2007-01,8.830,
2007-04,8.969,
2007-07,8.961,
2007-10,8.939,
2008-01,8.855,
2008-04,8.822,
2008-07,8.909,
2008-10,8.898,
2009-01,8.865,
2009-04,9.391,
2009-07,9.501,
2009-10,9.469,
2010-01,9.476,
2010-04,9.565,
2010-07,9.649,
2010-10,9.649,
2011-01,9.789,
2011-04,9.851,
2011-07,9.947,
2011-10,10.039,
2012-01,10.104,
2012-04,10.270,
2012-07,10.455,
2012-10,10.555,
2013-01,10.642,
2013-04,10.794,
2013-07,10.971,
2013-10,11.113,
2014-01,11.204,
2014-04,11.415,
2014-07,11.637,
