"",BBK01.OECL07K,BBK01.OECL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:59,
2002-01,0.821,
2002-04,0.550,
2002-07,0.538,
2002-10,0.606,
2003-01,0.596,
2003-04,0.575,
2003-07,0.662,
2003-10,0.649,
2004-01,0.611,
2004-04,0.602,
2004-07,0.775,
2004-10,1.294,
2005-01,2.383,
2005-04,2.516,
2005-07,2.516,
2005-10,2.392,
2006-01,2.271,
2006-04,2.253,
2006-07,2.197,
2006-10,2.181,
2007-01,2.226,
2007-04,2.193,
2007-07,2.148,
2007-10,2.175,
2008-01,2.178,
2008-04,2.245,
2008-07,2.187,
2008-10,2.320,
2009-01,2.505,
2009-04,2.662,
2009-07,2.978,
2009-10,2.913,
2010-01,2.976,
2010-04,2.940,
2010-07,2.940,
2010-10,2.986,
2011-01,2.947,
2011-04,2.855,
2011-07,2.815,
2011-10,2.779,
2012-01,3.026,
2012-04,2.932,
2012-07,3.141,
2012-10,3.152,
2013-01,2.896,
2013-04,2.834,
2013-07,2.749,
2013-10,2.734,
2014-01,2.683,
2014-04,2.625,
2014-07,2.666,
