"",BBEX3.M.DZD.EUR.CA.AC.A01,BBEX3.M.DZD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Algeria / EUR 1 = DZD ... (middle),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:07,
1999-01,70.73945,
1999-02,71.04035,
1999-03,70.93850,
1999-04,71.37125,
1999-05,70.96180,
1999-06,70.56965,
1999-07,71.60215,
1999-08,71.10680,
1999-09,71.30405,
1999-10,71.05855,
1999-11,69.92270,
1999-12,69.84340,
2000-01,69.42440,
2000-02,70.37240,
2000-03,70.30005,
2000-04,69.33705,
2000-05,69.98805,
2000-06,70.63545,
2000-07,69.77745,
2000-08,69.00375,
2000-09,68.64540,
2000-10,67.55360,
2000-11,68.17910,
2000-12,69.91265,
2001-01,69.95830,
2001-02,69.83090,
2001-03,68.74145,
2001-04,69.01590,
2001-05,67.89455,
2001-06,67.87210,
2001-07,68.64850,
2001-08,69.81175,
2001-09,69.72105,
2001-10,69.50975,
2001-11,68.98445,
2001-12,68.99350,
2002-01,68.29590,
2002-02,68.89050,
2002-03,69.99220,
2002-04,72.21220,
2002-05,74.99205,
2002-06,79.30700,
2002-07,78.38945,
2002-08,78.76320,
2002-09,78.70750,
2002-10,78.83825,
2002-11,79.33770,
2002-12,83.46870,
2003-01,86.14675,
2003-02,85.86780,
2003-03,86.64775,
2003-04,88.57085,
2003-05,94.21330,
2003-06,89.94065,
2003-07,88.08755,
2003-08,84.83615,
2003-09,89.95805,
2003-10,88.21895,
2003-11,83.15595,
2003-12,91.50100,
2004-01,88.70035,
2004-02,88.51255,
2004-03,87.32130,
2004-04,85.40300,
2004-05,87.07065,
2004-06,86.72685,
2004-07,87.54160,
2004-08,87.76870,
2004-09,89.47380,
2004-10,93.23900,
2004-11,96.94655,
2004-12,99.12475,
2005-01,94.61385,
2005-02,95.83065,
2005-03,94.37800,
2005-04,94.49655,
2005-05,91.45875,
2005-06,89.10690,
2005-07,89.63470,
2005-08,90.08190,
2005-09,88.53825,
2005-10,88.51815,
2005-11,87.62115,
2005-12,86.89170,
2006-01,88.14275,
2006-02,88.01305,
2006-03,89.53530,
2006-04,90.75790,
2006-05,93.86055,
2006-06,93.13585,
2006-07,93.41715,
2006-08,92.78535,
2006-09,91.37015,
2006-10,91.50720,
2006-11,93.80695,
2006-12,93.71465,
2007-01,92.66370,
2007-02,93.85380,
2007-03,94.44030,
2007-04,95.65915,
2007-05,94.93725,
2007-06,94.10720,
2007-07,94.07235,
2007-08,93.67875,
2007-09,96.00510,
2007-10,97.10840,
2007-11,98.62100,
2007-12,98.01185,
2008-01,99.02520,
2008-02,100.43140,
2008-03,103.40005,
2008-04,99.31585,
2008-05,97.51560,
2008-06,97.58010,
2008-07,96.04030,
2008-08,89.82015,
2008-09,86.83885,
2008-10,85.33410,
2008-11,90.59420,
2008-12,99.12500,
2009-01,92.59915,
2009-02,92.03270,
2009-03,97.33590,
2009-04,96.57040,
2009-05,102.08625,
2009-06,102.75000,
2009-07,103.17295,
2009-08,104.37470,
2009-09,105.89680,
2009-10,107.24585,
2009-11,108.49910,
2009-12,104.63575,
2010-01,102.58135,
2010-02,99.89850,
2010-03,99.43710,
2010-04,97.96275,
2010-05,92.86040,
2010-06,95.18270,
2010-07,97.49840,
2010-08,96.31255,
2010-09,101.94400,
2010-10,103.06575,
2010-11,101.24230,
2010-12,103.49260,
2011-01,102.43820,
2011-02,100.37290,
2011-03,102.27550,
2011-04,105.96890,
2011-05,103.72550,
2011-06,103.87585,
2011-07,102.93390,
2011-08,103.89300,
2011-09,99.89800,
2011-10,102.25015,
2011-11,99.96035,
2011-12,106.59675,
2012-01,104.56230,
2012-02,101.08980,
2012-03,101.66730,
2012-04,102.66470,
2012-05,99.62715,
2012-06,101.52880,
2012-07,102.19935,
2012-08,101.96340,
2012-09,102.54115,
2012-10,102.80600,
2012-11,101.93065,
2012-12,103.02280,
2013-01,104.90045,
2013-02,102.91695,
2013-03,101.29640,
2013-04,103.11075,
2013-05,102.72640,
2013-06,104.53430,
2013-07,105.27910,
2013-08,107.45675,
2013-09,110.13140,
2013-10,110.52190,
2013-11,108.50055,
2013-12,106.90615,
2014-01,105.82215,
2014-02,106.87145,
2014-03,108.31110,
2014-04,108.80510,
2014-05,107.71305,
2014-06,108.22750,
2014-07,106.94145,
2014-08,105.87510,
2014-09,105.08480,
2014-10,105.43035,
2014-11,107.20375,
2014-12,106.91910,
2015-01,105.38130,
"","Source: Calculated on the basis of the buying and selling rates of the Banque d'Algerie, Algiers.",
