"",BBK01.CEH510,BBK01.CEH510_FLAGS
"",Shares and other equity debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:28,
1991-01,3.5,
1991-04,3.9,
1991-07,5.1,
1991-10,4.0,
1992-01,2.6,
1992-04,3.4,
1992-07,3.0,
1992-10,3.1,
1993-01,3.7,
1993-04,3.5,
1993-07,3.1,
1993-10,3.9,
1994-01,3.9,
1994-04,5.1,
1994-07,5.4,
1994-10,4.9,
1995-01,1.6,
1995-04,4.3,
1995-07,4.3,
1995-10,6.2,
1996-01,1.6,
1996-04,3.8,
1996-07,2.8,
1996-10,16.0,
1997-01,1.5,
1997-04,3.8,
1997-07,4.9,
1997-10,6.5,
1998-01,3.9,
1998-04,10.7,
1998-07,7.3,
1998-10,38.8,
1999-01,8.5,
1999-04,23.3,
1999-07,23.9,
1999-10,19.8,
2000-01,18.7,
2000-04,49.7,
2000-07,22.0,
2000-10,100.4,
2001-01,15.6,
2001-04,35.4,
2001-07,4.7,
2001-10,8.4,
2002-01,11.2,
2002-04,6.1,
2002-07,2.2,
2002-10,8.1,
2003-01,4.7,
2003-04,-0.3,
2003-07,6.9,
2003-10,22.6,
2004-01,8.8,
2004-04,4.0,
2004-07,8.0,
2004-10,12.1,
2005-01,4.6,
2005-04,5.5,
2005-07,6.5,
2005-10,-6.2,
2006-01,2.7,
2006-04,4.2,
2006-07,9.1,
2006-10,21.3,
2007-01,8.3,
2007-04,8.6,
2007-07,11.1,
2007-10,13.4,
2008-01,8.4,
2008-04,8.7,
2008-07,2.4,
2008-10,5.8,
2009-01,3.2,
2009-04,1.6,
2009-07,3.2,
2009-10,9.5,
2010-01,9.5,
2010-04,4.5,
2010-07,3.0,
2010-10,8.3,
2011-01,5.3,
2011-04,10.0,
2011-07,5.6,
2011-10,5.9,
2012-01,3.0,
2012-04,2.4,
2012-07,-3.6,
2012-10,10.4,
2013-01,1.6,
2013-04,2.2,
2013-07,1.3,
2013-10,6.8,
2014-01,2.3,
