"",BBK01.PQH358,BBK01.PQH358_FLAGS
"",Lending to domestic self-employed persons / Total / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:56,
1968-10,10.635,
1969-01,11.036,
1969-04,11.524,
1969-07,11.862,
1969-10,12.402,
1970-01,12.871,
1970-04,13.333,
1970-07,13.605,
1970-10,13.939,
1971-01,14.332,
1971-04,14.842,
1971-07,15.280,
1971-10,15.788,
1972-01,16.269,
1972-04,16.954,
1972-07,17.510,
1972-10,18.299,
1973-01,18.988,
1973-04,19.836,
1973-07,20.138,
1973-10,20.413,
1974-01,20.703,
1974-04,21.148,
1974-07,21.208,
1974-10,21.286,
1975-01,21.582,
1975-04,21.880,
1975-07,22.051,
1975-10,22.449,
1976-01,23.046,
1976-04,23.761,
1976-07,24.450,
1976-10,25.065,
1977-01,25.694,
1977-04,26.659,
1977-07,27.202,
1977-10,27.896,
1978-01,28.642,
1978-04,29.928,
1978-07,30.877,
1978-10,31.945,
1979-01,33.198,
1979-04,34.801,
1979-07,36.174,
1979-10,37.478,
1980-01,38.747,
1980-04,40.243,
1980-07,41.101,
1980-10,42.346,
1981-01,43.590,
1981-04,44.724,
1981-07,45.434,
1981-10,47.028,
1982-01,47.693,
1982-04,48.894,
1982-07,49.617,
1982-10,50.890,
1983-01,51.371,
1983-04,52.437,
1983-07,53.279,
1983-10,54.806,
1984-01,55.995,
1984-04,57.433,
1984-07,58.347,
1984-10,59.849,
1985-01,60.431,
1985-04,61.277,
1985-07,61.667,
1985-10,61.738,
1986-01,62.212,
1986-04,62.745,
1986-07,63.020,
1986-10,63.888,
1987-01,64.172,
1987-04,64.755,
1987-07,65.213,
1987-10,66.200,
1988-01,66.522,
1988-04,67.583,
1988-07,68.202,
1988-10,69.044,
1989-01,69.689,
1989-04,70.700,
1989-07,71.323,
1989-10,72.939,
1990-01,73.869,
1990-04,75.171,
1990-07,76.011,
1990-10,77.999,
1991-01,79.412,
1991-04,80.839,
1991-07,82.435,
1991-10,85.507,
1992-01,85.615,
1992-04,87.718,
1992-07,89.611,
1992-10,92.022,
1993-01,92.821,
1993-04,94.839,
1993-07,96.908,
1993-10,100.210,
1994-01,101.635,
1994-04,103.820,
1994-07,106.159,
1994-10,109.196,
1995-01,109.373,
1995-04,111.005,
1995-07,112.785,
1995-10,115.800,
1996-01,116.337,
1996-04,117.865,
1996-07,119.195,
1996-10,122.631,
1997-01,123.225,
1997-04,124.523,
1997-07,125.644,
1997-10,127.762,
1998-01,128.363,
1998-04,129.823,
1998-07,131.051,
1998-10,134.520,
1999-01,141.286,
1999-04,143.760,
1999-07,144.936,
1999-10,146.121,
2000-01,147.210,
2000-04,148.329,
2000-07,149.303,
2000-10,150.470,
2001-01,150.503,
2001-04,151.334,
2001-07,152.077,
2001-10,152.433,
2002-01,152.496,
2002-04,152.814,
2002-07,151.943,
2002-10,150.816,
2003-01,150.596,
2003-04,150.157,
2003-07,150.006,
2003-10,149.176,
2004-01,147.392,
2004-04,146.904,
2004-07,146.830,
2004-10,145.867,
2005-01,145.098,
2005-04,144.788,
2005-07,144.850,
2005-10,145.179,
2006-01,144.977,
2006-04,145.585,
2006-07,145.527,
2006-10,145.399,
2007-01,144.244,
2007-04,144.387,
2007-07,144.885,
2007-10,144.991,
2008-01,144.462,
2008-04,144.606,
2008-07,144.716,
2008-10,144.983,
2009-01,143.962,
2009-04,144.906,
2009-07,145.375,
2009-10,146.037,
2010-01,145.758,
2010-04,147.521,
2010-07,148.008,
2010-10,148.226,
2011-01,147.626,
2011-04,148.370,
2011-07,148.740,
2011-10,148.974,
2012-01,149.093,
2012-04,150.026,
2012-07,150.756,
2012-10,151.152,
2013-01,151.147,
2013-04,151.475,
2013-07,151.718,
2013-10,151.452,
2014-01,151.265,
2014-04,151.813,
2014-07,152.388,
2014-10,153.054,
