"",BBK01.CEFN0L,BBK01.CEFN0L_FLAGS
"",Transferable deposits  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:44,
1999-01,1.1,
1999-04,1.1,
1999-07,1.0,
1999-10,1.4,
2000-01,1.3,
2000-04,1.2,
2000-07,0.9,
2000-10,1.5,
2001-01,1.3,
2001-04,1.5,
2001-07,1.5,
2001-10,2.0,
2002-01,1.7,
2002-04,1.9,
2002-07,2.2,
2002-10,2.7,
2003-01,3.2,
2003-04,3.3,
2003-07,2.6,
2003-10,2.8,
2004-01,3.4,
2004-04,2.6,
2004-07,3.2,
2004-10,2.3,
2005-01,3.1,
2005-04,2.9,
2005-07,2.6,
2005-10,2.7,
2006-01,3.0,
2006-04,2.9,
2006-07,2.6,
2006-10,3.4,
2007-01,2.9,
2007-04,3.2,
2007-07,2.7,
2007-10,3.2,
2008-01,3.4,
2008-04,3.3,
2008-07,3.3,
2008-10,4.3,
2009-01,4.9,
2009-04,4.3,
2009-07,4.6,
2009-10,4.9,
2010-01,4.2,
2010-04,4.4,
2010-07,4.0,
2010-10,4.2,
2011-01,4.6,
2011-04,5.1,
2011-07,5.5,
2011-10,5.9,
2012-01,5.6,
2012-04,6.0,
2012-07,5.5,
2012-10,6.4,
2013-01,6.7,
2013-04,5.8,
2013-07,5.8,
2013-10,5.0,
2014-01,6.8,
2014-04,6.9,
2014-07,6.1,
