"",BBK01.OECI01O,BBK01.OECI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:22,
2002-01,3.839,
2002-04,4.048,
2002-07,4.055,
2002-10,4.093,
2003-01,4.091,
2003-04,4.088,
2003-07,4.166,
2003-10,4.248,
2004-01,3.947,
2004-04,3.948,
2004-07,4.064,
2004-10,4.465,
2005-01,6.419,
2005-04,6.654,
2005-07,6.450,
2005-10,6.620,
2006-01,6.479,
2006-04,6.427,
2006-07,6.601,
2006-10,6.739,
2007-01,6.526,
2007-04,6.810,
2007-07,7.320,
2007-10,8.261,
2008-01,7.999,
2008-04,8.205,
2008-07,8.864,
2008-10,9.417,
2009-01,9.296,
2009-04,9.391,
2009-07,9.722,
2009-10,9.635,
2010-01,9.345,
2010-04,9.353,
2010-07,9.248,
2010-10,9.047,
2011-01,8.895,
2011-04,8.988,
2011-07,9.225,
2011-10,8.947,
2012-01,9.179,
2012-04,9.164,
2012-07,9.847,
2012-10,10.672,
2013-01,10.134,
2013-04,9.774,
2013-07,9.446,
2013-10,9.464,
2014-01,9.157,
2014-04,8.979,
2014-07,9.674,
