"",BBK01.OEAE21V,BBK01.OEAE21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:41,
2002-01,0.339,
2002-04,0.313,
2002-07,0.310,
2002-10,0.346,
2003-01,0.200,
2003-04,0.149,
2003-07,0.148,
2003-10,0.125,
2004-01,0.061,
2004-04,0.117,
2004-07,0.098,
2004-10,0.094,
2005-01,0.074,
2005-04,0.025,
2005-07,0.020,
2005-10,0.051,
2006-01,0.052,
2006-04,0.091,
2006-07,0.163,
2006-10,0.157,
2007-01,0.183,
2007-04,0.136,
2007-07,0.205,
2007-10,0.338,
2008-01,0.157,
2008-04,0.121,
2008-07,0.123,
2008-10,0.072,
2009-01,0.067,
2009-04,0.073,
2009-07,0.087,
2009-10,0.090,
2010-01,0.091,
2010-04,0.085,
2010-07,0.101,
2010-10,0.118,
2011-01,0.119,
2011-04,0.114,
2011-07,0.124,
2011-10,0.140,
2012-01,0.154,
2012-04,0.149,
2012-07,0.157,
2012-10,0.150,
2013-01,0.145,
2013-04,0.147,
2013-07,0.130,
2013-10,0.168,
2014-01,0.199,
2014-04,0.197,
2014-07,0.202,
