"",BBK01.OEHL08P,BBK01.OEHL08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:18,
2002-01,3.956,
2002-04,3.893,
2002-07,3.853,
2002-10,3.972,
2003-01,4.051,
2003-04,4.089,
2003-07,4.091,
2003-10,4.234,
2004-01,4.287,
2004-04,4.324,
2004-07,4.317,
2004-10,4.339,
2005-01,4.328,
2005-04,4.352,
2005-07,4.349,
2005-10,4.431,
2006-01,4.423,
2006-04,4.385,
2006-07,4.307,
2006-10,4.381,
2007-01,4.296,
2007-04,4.214,
2007-07,4.153,
2007-10,4.184,
2008-01,4.085,
2008-04,4.028,
2008-07,3.910,
2008-10,3.905,
2009-01,3.899,
2009-04,3.882,
2009-07,3.907,
2009-10,4.016,
2010-01,4.165,
2010-04,4.301,
2010-07,4.317,
2010-10,4.394,
2011-01,4.408,
2011-04,4.417,
2011-07,4.392,
2011-10,4.464,
2012-01,4.461,
2012-04,4.448,
2012-07,4.483,
2012-10,4.634,
2013-01,4.633,
2013-04,4.582,
2013-07,4.530,
2013-10,4.494,
2014-01,4.432,
2014-04,4.376,
2014-07,4.321,
