"",BBSF2.M.1.P.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Mixed securities funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:50,
2009-09,17954,
2009-10,17968,
2009-11,18392,
2009-12,19179,
2010-01,19217,
2010-02,19895,
2010-03,21287,
2010-04,21427,
2010-05,21581,
2010-06,21895,
2010-07,22695,
2010-08,23192,
2010-09,23723,
2010-10,24523,
2010-11,24498,
2010-12,24672,
2011-01,24817,
2011-02,25233,
2011-03,25190,
2011-04,25493,
2011-05,25317,
2011-06,24825,
2011-07,24755,
2011-08,22588,
2011-09,21543,
2011-10,22067,
2011-11,21137,
2011-12,20781,
2012-01,21605,
2012-02,22290,
2012-03,22250,
2012-04,22327,
2012-05,21946,
2012-06,21625,
2012-07,22279,
2012-08,22463,
2012-09,22736,
2012-10,22769,
2012-11,23263,
2012-12,23325,
2013-01,23719,
2013-02,24002,
2013-03,24205,
2013-04,24732,
2013-05,24957,
2013-06,25377,
2013-07,26071,
2013-08,26280,
2013-09,26656,
2013-10,27138,
2013-11,27342,
2013-12,27909,
2014-01,28338,
2014-02,29258,
2014-03,29645,
2014-04,30234,
2014-05,30927,
2014-06,31631,
2014-07,31868,
2014-08,35420,
2014-09,35793,
2014-10,35982,
2014-11,37028,
