"",BBSF2.M.1.S.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Other funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:20,
2009-09,284,
2009-10,433,
2009-11,732,
2009-12,857,
2010-01,1079,
2010-02,1070,
2010-03,1090,
2010-04,1130,
2010-05,1091,
2010-06,1045,
2010-07,961,
2010-08,978,
2010-09,1022,
2010-10,1000,
2010-11,1029,
2010-12,1045,
2011-01,1061,
2011-02,1114,
2011-03,1087,
2011-04,1102,
2011-05,1076,
2011-06,1140,
2011-07,1312,
2011-08,1524,
2011-09,1536,
2011-10,1955,
2011-11,2724,
2011-12,2839,
2012-01,2615,
2012-02,2484,
2012-03,2349,
2012-04,2270,
2012-05,2188,
2012-06,2092,
2012-07,2093,
2012-08,2141,
2012-09,2142,
2012-10,2067,
2012-11,2111,
2012-12,2137,
2013-01,2191,
2013-02,2183,
2013-03,2191,
2013-04,2270,
2013-05,2349,
2013-06,2243,
2013-07,2216,
2013-08,2154,
2013-09,2188,
2013-10,2159,
2013-11,2139,
2013-12,2144,
2014-01,2190,
2014-02,2249,
2014-03,2384,
2014-04,2397,
2014-05,2436,
2014-06,2411,
2014-07,2418,
2014-08,4074,
2014-09,3845,
2014-10,3952,
2014-11,3963,
