"",BBFN1.M.DE.N.1.L.IR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1990-02,0.010,
1990-03,0.009,
1990-04,0.008,
1990-05,0.007,
1990-06,0.007,
1990-07,0.006,
1990-08,0.006,
1990-09,0.006,
1990-10,0.006,
1990-11,0.006,
1990-12,0.005,
1991-01,0.004,
1991-02,0.005,
1991-03,0.004,
1991-04,0.004,
1991-05,0.004,
1991-06,0.004,
1991-07,0.004,
1991-08,0.004,
1991-09,0.005,
1991-10,0.006,
1991-11,0.005,
1991-12,0.007,
1992-01,0.007,
1992-02,0.008,
1992-03,0.007,
1992-04,0.016,
1992-05,0.019,
1992-06,0.017,
1992-07,0.017,
1992-08,0.022,
1992-09,0.025,
1992-10,0.025,
1992-11,0.027,
1992-12,0.030,
1993-01,0.030,
1993-02,0.032,
1993-03,0.033,
1993-04,0.029,
1993-05,0.027,
1993-06,0.028,
1993-07,0.026,
1993-08,0.026,
1993-09,0.025,
1993-10,0.026,
1993-11,0.026,
1993-12,0.022,
1994-01,0.031,
1994-02,0.040,
1994-03,0.034,
1994-04,0.032,
1994-05,0.025,
1994-06,0.028,
1994-07,0.076,
1994-08,0.077,
1994-09,0.070,
1994-10,0.070,
1994-11,0.073,
1994-12,0.056,
1995-01,0.059,
1995-02,0.060,
1995-03,0.061,
1995-04,0.068,
1995-05,0.069,
1995-06,0.056,
1995-07,0.055,
1995-08,0.053,
1995-09,0.053,
1995-10,0.053,
1995-11,0.053,
1995-12,0.052,
1996-01,0.052,
1996-02,0.053,
1996-03,0.052,
1996-04,0.053,
1996-05,0.054,
1996-06,0.052,
1996-07,0.054,
1996-08,0.053,
1996-09,0.064,
1996-10,0.070,
1996-11,0.070,
1996-12,0.069,
1997-01,0.068,
1997-02,0.069,
1997-03,0.060,
1997-04,0.059,
1997-05,0.058,
1997-06,0.021,
1997-07,0.031,
1997-08,0.033,
1997-09,0.034,
1997-10,0.076,
1997-11,0.075,
1997-12,0.075,
1998-01,0.153,
1998-02,0.155,
1998-03,0.098,
1998-04,0.106,
1998-05,0.109,
1998-06,0.134,
1998-07,0.135,
1998-08,0.133,
1998-09,0.129,
1998-10,0.108,
1998-11,0.100,
1998-12,0.103,
1999-01,0.102,
1999-02,0.101,
1999-03,0.095,
1999-04,0.086,
1999-05,0.090,
1999-06,0.090,
1999-07,0.091,
1999-08,0.089,
1999-09,0.077,
1999-10,0.082,
1999-11,0.080,
1999-12,0.158,
2000-01,0.150,
2000-02,0.142,
2000-03,0.110,
2000-04,0.131,
2000-05,0.127,
2000-06,0.136,
2000-07,0.118,
2000-08,0.121,
2000-09,0.099,
2000-10,0.106,
2000-11,0.101,
2000-12,0.112,
2001-01,0.139,
2001-02,0.143,
2001-03,0.090,
2001-04,0.104,
2001-05,0.095,
2001-06,0.098,
2001-07,0.105,
2001-08,0.106,
2001-09,0.105,
2001-10,0.107,
2001-11,0.084,
2001-12,0.079,
2002-01,0.073,
2002-02,0.064,
2002-03,0.053,
2002-04,0.053,
2002-05,0.046,
2002-06,0.069,
2002-07,0.066,
2002-08,0.059,
2002-09,0.051,
2002-10,0.043,
2002-11,0.032,
2002-12,0.031,
2003-01,0.030,
2003-02,0.032,
2003-03,0.033,
2003-04,0.029,
2003-05,0.026,
2003-06,0.036,
2003-07,0.034,
2003-08,0.034,
2003-09,0.032,
2003-10,0.038,
2003-11,0.038,
2003-12,0.026,
2004-01,0.021,
2004-02,0.022,
2004-03,0.025,
2004-04,0.037,
2004-05,0.037,
2004-06,0.027,
2004-07,0.028,
2004-08,0.028,
2004-09,0.040,
2004-10,0.035,
2004-11,0.032,
2004-12,0.031,
2005-01,0.031,
2005-02,0.028,
2005-03,0.030,
2005-04,0.026,
2005-05,0.028,
2005-06,0.035,
2005-07,0.035,
2005-08,0.031,
2005-09,0.035,
2005-10,0.032,
2005-11,0.033,
2005-12,0.032,
2006-01,0.033,
2006-02,0.029,
2006-03,0.036,
2006-04,0.034,
2006-05,0.037,
2006-06,0.038,
2006-07,0.037,
2006-08,0.038,
2006-09,0.039,
2006-10,0.043,
2006-11,0.045,
2006-12,0.034,
2007-01,0.035,
2007-02,0.038,
2007-03,0.025,
2007-04,0.026,
2007-05,0.025,
2007-06,0.031,
2007-07,0.034,
2007-08,0.035,
2007-09,0.036,
2007-10,0.033,
2007-11,0.035,
2007-12,0.041,
2008-01,0.042,
2008-02,0.039,
2008-03,0.039,
2008-04,0.048,
2008-05,0.048,
2008-06,0.057,
2008-07,0.051,
2008-08,0.038,
2008-09,0.041,
2008-10,0.037,
2008-11,0.040,
2008-12,0.042,
2009-01,0.034,
2009-02,0.028,
2009-03,0.096,
2009-04,0.095,
2009-05,0.066,
2009-06,0.062,
2009-07,0.050,
2009-08,0.049,
2009-09,0.058,
2009-10,0.058,
2009-11,.,No value available
2009-12,.,No value available
2010-01,.,No value available
2010-02,.,No value available
2010-03,.,No value available
2010-04,.,No value available
2010-05,.,No value available
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,0.036,
2011-02,0.036,
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,.,No value available
2011-07,.,No value available
2011-08,.,No value available
2011-09,.,No value available
2011-10,.,No value available
2011-11,.,No value available
2011-12,0.026,
2012-01,0.025,
2012-02,0.025,
2012-03,0.026,
2012-04,0.028,
2012-05,0.026,
2012-06,0.028,
2012-07,0.030,
2012-08,0.029,
2012-09,0.030,
2012-10,0.030,
2012-11,0.028,
2012-12,0.030,
2013-01,0.047,
2013-02,0.047,
2013-03,0.047,
2013-04,0.047,
2013-05,0.046,
2013-06,0.046,
2013-07,0.046,
2013-08,0.049,
2013-09,0.056,
2013-10,0.055,
2013-11,0.046,
2013-12,0.046,
2014-01,0.044,
2014-02,0.044,
2014-03,0.044,
2014-04,0.044,
2014-05,0.044,
2014-06,0.018,
2014-07,0.018,
2014-08,0.023,
2014-09,0.021,
2014-10,0.019,
2014-11,0.019,
2014-12,0.019,
