"",BBK01.OECL09L,BBK01.OECL09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:14,
2002-01,0.255,
2002-04,0.260,
2002-07,0.264,
2002-10,0.265,
2003-01,0.249,
2003-04,0.239,
2003-07,0.230,
2003-10,0.230,
2004-01,0.218,
2004-04,0.214,
2004-07,0.210,
2004-10,0.213,
2005-01,0.231,
2005-04,0.224,
2005-07,0.209,
2005-10,0.210,
2006-01,0.207,
2006-04,0.206,
2006-07,0.205,
2006-10,0.206,
2007-01,0.221,
2007-04,0.230,
2007-07,0.238,
2007-10,0.257,
2008-01,0.283,
2008-04,0.310,
2008-07,0.361,
2008-10,0.549,
2009-01,0.562,
2009-04,0.557,
2009-07,0.544,
2009-10,0.437,
2010-01,0.355,
2010-04,0.339,
2010-07,0.315,
2010-10,0.333,
2011-01,0.361,
2011-04,0.381,
2011-07,0.390,
2011-10,0.386,
2012-01,0.377,
2012-04,0.362,
2012-07,0.338,
2012-10,0.312,
2013-01,0.278,
2013-04,0.252,
2013-07,0.247,
2013-10,0.238,
2014-01,0.231,
2014-04,0.225,
2014-07,0.267,
