"",BBK01.OELI05M,BBK01.OELI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:52,
2002-01,0.818,
2002-04,0.830,
2002-07,0.839,
2002-10,0.850,
2003-01,0.847,
2003-04,0.806,
2003-07,0.819,
2003-10,0.884,
2004-01,0.876,
2004-04,0.867,
2004-07,0.864,
2004-10,0.869,
2005-01,1.013,
2005-04,0.980,
2005-07,0.965,
2005-10,0.965,
2006-01,0.997,
2006-04,0.986,
2006-07,0.979,
2006-10,0.965,
2007-01,0.955,
2007-04,0.947,
2007-07,0.929,
2007-10,0.898,
2008-01,0.754,
2008-04,0.746,
2008-07,0.715,
2008-10,0.677,
2009-01,0.606,
2009-04,0.598,
2009-07,0.631,
2009-10,0.653,
2010-01,0.693,
2010-04,0.717,
2010-07,0.717,
2010-10,0.752,
2011-01,0.780,
2011-04,0.815,
2011-07,0.818,
2011-10,0.816,
2012-01,0.804,
2012-04,0.802,
2012-07,0.774,
2012-10,0.746,
2013-01,0.735,
2013-04,0.738,
2013-07,0.736,
2013-10,0.736,
2014-01,0.843,
2014-04,0.855,
2014-07,0.811,
