"",BBK01.OELB23L,BBK01.OELB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:03,
2002-01,0.359,
2002-04,0.416,
2002-07,0.416,
2002-10,0.293,
2003-01,0.185,
2003-04,0.168,
2003-07,0.218,
2003-10,0.242,
2004-01,0.310,
2004-04,0.310,
2004-07,0.381,
2004-10,0.377,
2005-01,0.386,
2005-04,0.390,
2005-07,0.392,
2005-10,0.392,
2006-01,0.396,
2006-04,0.394,
2006-07,0.394,
2006-10,0.386,
2007-01,0.236,
2007-04,0.100,
2007-07,0.109,
2007-10,0.102,
2008-01,0.103,
2008-04,0.102,
2008-07,0.100,
2008-10,0.092,
2009-01,0.163,
2009-04,0.162,
2009-07,0.162,
2009-10,0.163,
2010-01,0.162,
2010-04,0.055,
2010-07,0.140,
2010-10,0.141,
2011-01,0.121,
2011-04,0.154,
2011-07,0.168,
2011-10,0.075,
2012-01,0.076,
2012-04,0.074,
2012-07,0.079,
2012-10,0.077,
2013-01,0.084,
2013-04,0.087,
2013-07,0.091,
2013-10,0.092,
2014-01,0.093,
2014-04,0.093,
2014-07,0.071,
