"",BBQFS.M.DE.BIBA.TA_GDP._X.0000,BBQFS.M.DE.BIBA.TA_GDP._X.0000_FLAGS
"",Total assets of German banks in relation to gross domestic product - big banks (FSR 2014),
unit,% des BIP/% of GDP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:31,
1999-01,42.81,
1999-02,40.88,
1999-03,41.32,
1999-04,41.76,
1999-05,41.97,
1999-06,41.62,
1999-07,41.17,
1999-08,41.34,
1999-09,40.18,
1999-10,40.31,
1999-11,41.39,
1999-12,40.11,
2000-01,40.99,
2000-02,41.81,
2000-03,43.71,
2000-04,44.10,
2000-05,45.11,
2000-06,43.40,
2000-07,42.73,
2000-08,43.49,
2000-09,44.22,
2000-10,44.65,
2000-11,45.49,
2000-12,45.88,
2001-01,46.63,
2001-02,48.18,
2001-03,50.86,
2001-04,51.17,
2001-05,51.36,
2001-06,48.83,
2001-07,47.33,
2001-08,47.52,
2001-09,47.59,
2001-10,47.30,
2001-11,47.40,
2001-12,47.11,
2002-01,46.28,
2002-02,45.80,
2002-03,46.78,
2002-04,46.03,
2002-05,47.36,
2002-06,46.09,
2002-07,45.65,
2002-08,45.95,
2002-09,47.31,
2002-10,47.18,
2002-11,49.31,
2002-12,47.80,
2003-01,47.85,
2003-02,47.58,
2003-03,47.72,
2003-04,48.07,
2003-05,49.75,
2003-06,48.86,
2003-07,47.95,
2003-08,47.43,
2003-09,47.86,
2003-10,47.52,
2003-11,47.27,
2003-12,47.05,
2004-01,47.37,
2004-02,47.40,
2004-03,48.33,
2004-04,48.88,
2004-05,48.51,
2004-06,46.87,
2004-07,46.99,
2004-08,47.09,
2004-09,48.05,
2004-10,48.37,
2004-11,49.65,
2004-12,53.86,
2005-01,55.24,
2005-02,55.74,
2005-03,54.57,
2005-04,58.99,
2005-05,58.26,
2005-06,54.68,
2005-07,54.60,
2005-08,54.65,
2005-09,53.90,
2005-10,54.57,
2005-11,55.91,
2005-12,53.48,
2006-01,54.74,
2006-02,54.70,
2006-03,54.97,
2006-04,55.29,
2006-05,56.21,
2006-06,54.79,
2006-07,53.13,
2006-08,53.38,
2006-09,54.56,
2006-10,53.66,
2006-11,54.60,
2006-12,54.24,
2007-01,54.14,
2007-02,55.12,
2007-03,55.40,
2007-04,56.35,
2007-05,57.13,
2007-06,56.04,
2007-07,55.21,
2007-08,55.58,
2007-09,57.08,
2007-10,55.22,
2007-11,56.34,
2007-12,55.85,
2008-01,56.73,
2008-02,57.18,
2008-03,57.69,
2008-04,59.29,
2008-05,59.11,
2008-06,56.08,
2008-07,56.35,
2008-08,56.92,
2008-09,58.55,
2008-10,59.53,
2008-11,58.95,
2008-12,57.41,
2009-01,58.87,
2009-02,57.45,
2009-03,57.21,
2009-04,58.75,
2009-05,56.21,
2009-06,54.92,
2009-07,54.78,
2009-08,54.84,
2009-09,54.01,
2009-10,54.40,
2009-11,54.52,
2009-12,52.65,
2010-01,52.88,
2010-02,52.44,
2010-03,51.70,
2010-04,53.75,
2010-05,54.86,
2010-06,53.06,
2010-07,51.64,
2010-08,53.36,
2010-09,50.61,
2010-10,51.53,
2010-11,53.23,
2010-12,81.03,
2011-01,76.88,
2011-02,76.12,
2011-03,71.83,
2011-04,73.13,
2011-05,74.82,
2011-06,70.33,
2011-07,73.45,
2011-08,80.05,
2011-09,83.57,
2011-10,78.83,
2011-11,78.69,
2011-12,79.86,
2012-01,80.33,
2012-02,79.38,
2012-03,77.95,
2012-04,79.43,
2012-05,86.74,
2012-06,79.80,
2012-07,83.22,
2012-08,82.26,
2012-09,79.34,
2012-10,77.91,
2012-11,77.98,
2012-12,74.94,
2013-01,72.81,
2013-02,73.31,
2013-03,72.64,
2013-04,73.93,
2013-05,71.14,
2013-06,68.20,
2013-07,66.94,
2013-08,64.77,
2013-09,65.22,
2013-10,64.65,
2013-11,64.94,
2013-12,61.12,
2014-01,62.74,
2014-02,61.06,
2014-03,60.17,
2014-04,60.55,
2014-05,62.10,
2014-06,62.33,
2014-07,64.09,
2014-08,66.14,
2014-09,65.26,
"",Methodology: Annualised quarterly data have been used for the gross domestic product. Within the Bilanzrechtsmodernisierungsgesetz the calculation of total assets (inclusion of derivative trading securities) was adjusted in 2010.,
