"",BBK01.OEAC20Q,BBK01.OEAC20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:49,
2002-01,1.863,
2002-04,1.801,
2002-07,1.761,
2002-10,1.698,
2003-01,1.680,
2003-04,1.595,
2003-07,1.737,
2003-10,1.475,
2004-01,1.702,
2004-04,1.382,
2004-07,1.350,
2004-10,1.402,
2005-01,1.389,
2005-04,1.397,
2005-07,1.377,
2005-10,1.213,
2006-01,1.322,
2006-04,1.328,
2006-07,1.289,
2006-10,1.193,
2007-01,1.212,
2007-04,1.250,
2007-07,1.362,
2007-10,1.357,
2008-01,1.411,
2008-04,1.509,
2008-07,1.532,
2008-10,1.372,
2009-01,1.289,
2009-04,1.316,
2009-07,1.324,
2009-10,1.248,
2010-01,1.073,
2010-04,1.048,
2010-07,1.027,
2010-10,1.001,
2011-01,1.100,
2011-04,1.137,
2011-07,1.151,
2011-10,0.953,
2012-01,0.988,
2012-04,0.981,
2012-07,1.089,
2012-10,1.102,
2013-01,1.119,
2013-04,1.012,
2013-07,1.033,
2013-10,1.020,
2014-01,0.979,
2014-04,0.941,
2014-07,1.034,
