"",BBSF2.M.1.P.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:12,
2009-09,84014,
2009-10,82453,
2009-11,83330,
2009-12,89679,
2010-01,85433,
2010-02,86857,
2010-03,93963,
2010-04,93079,
2010-05,94212,
2010-06,87943,
2010-07,89777,
2010-08,87284,
2010-09,91413,
2010-10,96134,
2010-11,98730,
2010-12,105958,
2011-01,105729,
2011-02,107006,
2011-03,104392,
2011-04,106914,
2011-05,106832,
2011-06,105012,
2011-07,106069,
2011-08,89764,
2011-09,85274,
2011-10,93389,
2011-11,90631,
2011-12,92429,
2012-01,98531,
2012-02,102174,
2012-03,101907,
2012-04,95957,
2012-05,92535,
2012-06,94367,
2012-07,100409,
2012-08,101698,
2012-09,103638,
2012-10,103030,
2012-11,104015,
2012-12,106698,
2013-01,109254,
2013-02,111249,
2013-03,113327,
2013-04,113695,
2013-05,116966,
2013-06,111246,
2013-07,116244,
2013-08,114620,
2013-09,119567,
2013-10,124572,
2013-11,127734,
2013-12,128862,
2014-01,125013,
2014-02,129765,
2014-03,128426,
2014-04,128434,
2014-05,132900,
2014-06,133318,
2014-07,130457,
2014-08,133764,
2014-09,131158,
2014-10,129304,
2014-11,133839,
