"",BBK01.OEAC05H,BBK01.OEAC05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:57,
2002-01,32.863,
2002-04,32.208,
2002-07,31.375,
2002-10,31.314,
2003-01,30.098,
2003-04,29.501,
2003-07,29.162,
2003-10,27.517,
2004-01,27.258,
2004-04,26.711,
2004-07,26.178,
2004-10,23.778,
2005-01,23.596,
2005-04,22.831,
2005-07,22.319,
2005-10,22.188,
2006-01,21.703,
2006-04,21.102,
2006-07,20.824,
2006-10,20.564,
2007-01,20.517,
2007-04,20.754,
2007-07,21.089,
2007-10,20.807,
2008-01,21.274,
2008-04,20.800,
2008-07,20.437,
2008-10,20.546,
2009-01,20.260,
2009-04,19.485,
2009-07,19.061,
2009-10,18.110,
2010-01,18.120,
2010-04,18.154,
2010-07,17.979,
2010-10,18.179,
2011-01,18.756,
2011-04,18.710,
2011-07,20.269,
2011-10,19.907,
2012-01,20.153,
2012-04,20.184,
2012-07,20.487,
2012-10,19.948,
2013-01,19.858,
2013-04,19.204,
2013-07,19.254,
2013-10,18.893,
2014-01,18.776,
2014-04,18.782,
2014-07,18.898,
