"",BBK01.OEAL02K,BBK01.OEAL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:01,
2002-01,6.594,
2002-04,6.875,
2002-07,6.341,
2002-10,6.503,
2003-01,6.963,
2003-04,6.800,
2003-07,7.665,
2003-10,7.605,
2004-01,8.224,
2004-04,9.152,
2004-07,9.022,
2004-10,9.600,
2005-01,10.667,
2005-04,10.737,
2005-07,10.696,
2005-10,10.895,
2006-01,10.924,
2006-04,11.152,
2006-07,10.681,
2006-10,10.918,
2007-01,11.196,
2007-04,11.766,
2007-07,11.686,
2007-10,11.602,
2008-01,11.732,
2008-04,11.344,
2008-07,11.344,
2008-10,13.072,
2009-01,15.349,
2009-04,16.224,
2009-07,16.778,
2009-10,17.647,
2010-01,18.183,
2010-04,18.437,
2010-07,18.294,
2010-10,18.774,
2011-01,18.739,
2011-04,18.523,
2011-07,19.078,
2011-10,19.356,
2012-01,20.106,
2012-04,21.423,
2012-07,21.506,
2012-10,22.432,
2013-01,22.641,
2013-04,22.848,
2013-07,22.831,
2013-10,23.614,
2014-01,23.648,
2014-04,24.132,
2014-07,24.223,
