"",BBSF2.M.1.S.I0002.DAC01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.DAC01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:28,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,0,
2004-05,0,
2004-06,0,
2004-07,0,
2004-08,0,
2004-09,0,
2004-10,0,
2004-11,0,
2004-12,17,
2005-01,-,Nothing exists
2005-02,8,
2005-03,0,
2005-04,0,
2005-05,0,
2005-06,0,
2005-07,0,
2005-08,0,
2005-09,10,
2005-10,0,
2005-11,-,Nothing exists
2005-12,1,
2006-01,5,
2006-02,0,
2006-03,15,
2006-04,-,Nothing exists
2006-05,2,
2006-06,0,
2006-07,-,Nothing exists
2006-08,50,
2006-09,0,
2006-10,-,Nothing exists
2006-11,-,Nothing exists
2006-12,1,
2007-01,4,
2007-02,-,Nothing exists
2007-03,8,
2007-04,-,Nothing exists
2007-05,1,
2007-06,0,
2007-07,-,Nothing exists
2007-08,2,
2007-09,0,
2007-10,-,Nothing exists
2007-11,-,Nothing exists
2007-12,1,
2008-01,33,
2008-02,0,
2008-03,9,
2008-04,-,Nothing exists
2008-05,-8,
2008-06,0,
2008-07,0,
2008-08,-,Nothing exists
2008-09,1,
2008-10,3380,
2008-11,5837,
2008-12,135,
2009-01,8,
2009-02,49,
2009-03,1115,
2009-04,769,
2009-05,986,
2009-06,116,
2009-07,84,
2009-08,122,
2009-09,55,
2009-10,190,
2009-11,232,
2009-12,79,
2010-01,92,
2010-02,295,
2010-03,313,
2010-04,148,
2010-05,59,
2010-06,24,
2010-07,80,
2010-08,237,
2010-09,253,
2010-10,322,
2010-11,305,
2010-12,838,
2011-01,83,
2011-02,55,
2011-03,135,
2011-04,135,
2011-05,293,
2011-06,110,
2011-07,304,
2011-08,207,
2011-09,444,
2011-10,430,
2011-11,196,
2011-12,703,
2012-01,243,
2012-02,129,
2012-03,80,
2012-04,114,
2012-05,50,
2012-06,541,
2012-07,286,
2012-08,-348,
2012-09,9,
2012-10,-119,
2012-11,64,
2012-12,678,
2013-01,426,
2013-02,54,
2013-03,5,
2013-04,475,
2013-05,5,
2013-06,-221,
2013-07,-166,
2013-08,-275,
2013-09,38,
2013-10,1,
2013-11,13,
2013-12,510,
2014-01,4,
2014-02,205,
2014-03,200,
2014-04,179,
2014-05,43,
2014-06,437,
2014-07,427,
2014-08,321,
2014-09,284,
2014-10,207,
2014-11,267,
