"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:04,
1970-06,-,Nothing exists
1970-07,2495,
1970-08,2573,
1970-09,2585,
1970-10,2597,
1970-11,2534,
1970-12,2554,
1971-01,2876,
1971-02,3054,
1971-03,3166,
1971-04,3114,
1971-05,3128,
1971-06,3163,
1971-07,3262,
1971-08,3172,
1971-09,3078,
1971-10,2872,
1971-11,2895,
1971-12,3221,
1972-01,3443,
1972-02,3763,
1972-03,3980,
1972-04,3970,
1972-05,4156,
1972-06,4045,
1972-07,4267,
1972-08,4296,
1972-09,4180,
1972-10,4067,
1972-11,4191,
1972-12,4208,
1973-01,4417,
1973-02,4212,
1973-03,4439,
1973-04,4239,
1973-05,3825,
1973-06,3696,
1973-07,3453,
1973-08,3488,
1973-09,3462,
1973-10,3730,
1973-11,3398,
1973-12,3387,
1974-01,3565,
1974-02,3393,
1974-03,3376,
1974-04,3546,
1974-05,3401,
1974-06,3342,
1974-07,3294,
1974-08,3292,
1974-09,3106,
1974-10,3204,
1974-11,3314,
1974-12,3358,
1975-01,3727,
1975-02,4137,
1975-03,4262,
1975-04,4544,
1975-05,4334,
1975-06,4487,
1975-07,4899,
1975-08,4682,
1975-09,4647,
1975-10,5011,
1975-11,5385,
1975-12,5539,
1976-01,5649,
1976-02,5660,
1976-03,5873,
1976-04,5537,
1976-05,5404,
1976-06,5520,
1976-07,5413,
1976-08,5362,
1976-09,5400,
1976-10,4979,
1976-11,5282,
1976-12,5397,
1977-01,5426,
1977-02,5313,
1977-03,5415,
1977-04,5861,
1977-05,5856,
1977-06,5743,
1977-07,5806,
1977-08,5920,
1977-09,6008,
1977-10,6189,
1977-11,6355,
1977-12,6349,
1978-01,6408,
1978-02,6457,
1978-03,6457,
1978-04,6398,
1978-05,6541,
1978-06,6678,
1978-07,6995,
1978-08,7092,
1978-09,7282,
1978-10,6981,
1978-11,6947,
1978-12,6952,
1979-01,6988,
1979-02,6729,
1979-03,6649,
1979-04,6583,
1979-05,6178,
1979-06,6006,
1979-07,6205,
1979-08,6372,
1979-09,6353,
1979-10,5926,
1979-11,6003,
1979-12,5963,
1980-01,6124,
1980-02,5973,
1980-03,5523,
1980-04,5690,
1980-05,5810,
1980-06,6015,
1980-07,6255,
1980-08,6131,
1980-09,6199,
1980-10,6196,
1980-11,6445,
1980-12,6342,
1981-01,6215,
1981-02,6105,
1981-03,6378,
1981-04,6627,
1981-05,6554,
1981-06,6875,
1981-07,7032,
1981-08,6734,
1981-09,5943,
1981-10,5846,
1981-11,5946,
1981-12,5711,
1982-01,5787,
1982-02,5719,
1982-03,5803,
1982-04,5658,
1982-05,5463,
1982-06,5254,
1982-07,5318,
1982-08,5323,
1982-09,5568,
1982-10,5613,
1982-11,5828,
1982-12,6231,
1983-01,6252,
1983-02,6524,
1983-03,7393,
1983-04,8141,
1983-05,7702,
1983-06,8093,
1983-07,8516,
1983-08,8044,
1983-09,8271,
1983-10,8665,
1983-11,8974,
1983-12,9251,
1984-01,9778,
1984-02,8914,
1984-03,8992,
1984-04,9123,
1984-05,8653,
1984-06,8800,
1984-07,8172,
1984-08,8606,
1984-09,9152,
1984-10,9211,
1984-11,9216,
1984-12,9398,
1985-01,9622,
1985-02,9694,
1985-03,9642,
1985-04,9966,
1985-05,10697,
1985-06,11186,
1985-07,10676,
1985-08,11396,
1985-09,12155,
1985-10,13734,
1985-11,13709,
1985-12,15460,
1986-01,15145,
1986-02,15247,
1986-03,16913,
1986-04,17895,
1986-05,16944,
1986-06,16602,
1986-07,15717,
1986-08,17842,
1986-09,16703,
1986-10,16951,
1986-11,17961,
1986-12,18068,
1987-01,16453,
1987-02,16183,
1987-03,17188,
1987-04,17393,
1987-05,17491,
1987-06,18531,
1987-07,19908,
1987-08,20419,
1987-09,20366,
1987-10,16280,
1987-11,14599,
1987-12,14581,
1988-01,13852,
1988-02,15682,
1988-03,15739,
1988-04,15927,
1988-05,16226,
1988-06,16855,
1988-07,16879,
1988-08,16776,
1988-09,18040,
1988-10,18515,
1988-11,18098,
1988-12,19359,
1989-01,20092,
1989-02,19580,
1989-03,20201,
1989-04,21767,
1989-05,22675,
1989-06,23600,
1989-07,24346,
1989-08,25338,
1989-09,24998,
1989-10,22342,
1989-11,23225,
1989-12,25505,
1990-01,25946,
1990-02,26010,
1990-03,28294,
1990-04,27062,
1990-05,28441,
1990-06,29344,
1990-07,30188,
1990-08,26336,
1990-09,22396,
1990-10,23627,
1990-11,23327,
1990-12,22755,
1991-01,23109,
1991-02,25268,
1991-03,25700,
1991-04,27491,
1991-05,28767,
1991-06,27298,
1991-07,28131,
1991-08,29012,
1991-09,28534,
1991-10,28692,
