"",BBK01.OEAB05G,BBK01.OEAB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:24,
2002-01,403.292,
2002-04,408.112,
2002-07,409.677,
2002-10,409.546,
2003-01,405.501,
2003-04,409.756,
2003-07,409.904,
2003-10,410.914,
2004-01,410.050,
2004-04,409.531,
2004-07,408.871,
2004-10,409.672,
2005-01,370.408,
2005-04,371.436,
2005-07,368.584,
2005-10,367.625,
2006-01,364.203,
2006-04,365.200,
2006-07,367.281,
2006-10,364.287,
2007-01,364.171,
2007-04,365.597,
2007-07,369.276,
2007-10,371.891,
2008-01,368.401,
2008-04,374.930,
2008-07,383.148,
2008-10,386.471,
2009-01,392.822,
2009-04,401.003,
2009-07,401.632,
2009-10,397.829,
2010-01,397.544,
2010-04,397.855,
2010-07,402.674,
2010-10,402.021,
2011-01,404.368,
2011-04,403.970,
2011-07,405.772,
2011-10,406.973,
2012-01,409.278,
2012-04,415.104,
2012-07,417.551,
2012-10,414.154,
2013-01,413.590,
2013-04,413.462,
2013-07,404.635,
2013-10,406.182,
2014-01,407.097,
2014-04,408.721,
2014-07,410.866,
