"",BBK01.OEXI07J,BBK01.OEXI07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:07,
2002-01,0.559,
2002-04,0.537,
2002-07,0.520,
2002-10,0.515,
2003-01,0.503,
2003-04,0.488,
2003-07,0.479,
2003-10,0.468,
2004-01,0.439,
2004-04,0.420,
2004-07,0.404,
2004-10,0.406,
2005-01,0.412,
2005-04,0.411,
2005-07,0.396,
2005-10,0.398,
2006-01,0.397,
2006-04,0.397,
2006-07,0.389,
2006-10,0.400,
2007-01,0.417,
2007-04,0.427,
2007-07,0.435,
2007-10,0.453,
2008-01,0.463,
2008-04,0.454,
2008-07,0.453,
2008-10,0.542,
2009-01,0.567,
2009-04,0.576,
2009-07,0.617,
2009-10,0.602,
2010-01,0.559,
2010-04,0.563,
2010-07,0.551,
2010-10,0.592,
2011-01,0.635,
2011-04,0.628,
2011-07,0.623,
2011-10,0.620,
2012-01,0.576,
2012-04,0.572,
2012-07,0.541,
2012-10,0.517,
2013-01,0.473,
2013-04,0.448,
2013-07,0.436,
2013-10,0.436,
2014-01,0.432,
2014-04,0.420,
2014-07,0.431,
