"",BBK01.OXA8N8,BBK01.OXA8N8_FLAGS
"","Stocks of loans to non-MFIs (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:25,
2009-12,81.840,
2010-01,83.699,
2010-02,-,Nothing exists
2010-03,81.496,
2010-04,-,Nothing exists
2010-05,79.462,
2010-06,77.949,
2010-07,77.792,
2010-08,76.550,
2010-09,74.637,
2010-10,75.645,
2010-11,76.960,
2010-12,74.701,
2011-01,73.028,
2011-02,71.084,
2011-03,68.968,
2011-04,68.169,
2011-05,66.771,
2011-06,65.249,
2011-07,65.619,
2011-08,70.396,
2011-09,69.128,
2011-10,68.977,
2011-11,70.040,
2011-12,68.649,
2012-01,68.740,
2012-02,67.668,
2012-03,65.642,
2012-04,65.758,
2012-05,64.238,
2012-06,62.590,
2012-07,61.503,
2012-08,60.435,
2012-09,59.040,
2012-10,56.014,
2012-11,56.252,
2012-12,55.389,
2013-01,54.615,
2013-02,54.558,
2013-03,56.022,
2013-04,54.702,
2013-05,54.455,
2013-06,56.109,
2013-07,55.996,
2013-08,54.565,
2013-09,53.241,
2013-10,53.169,
2013-11,54.482,
2013-12,53.349,
2014-01,52.694,
2014-02,50.654,
2014-03,52.241,
2014-04,52.990,
2014-05,53.244,
2014-06,52.642,
2014-07,51.553,
2014-08,51.827,
2014-09,51.604,
2014-10,55.323,
2014-11,55.264,
2014-12,54.516,Provisional value
