"",BBFB1.Q.N.DE.R5.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:34,
1991-01,151.220,
1991-04,156.441,
1991-07,222.271,
1991-10,201.902,
1992-01,222.628,
1992-04,205.310,
1992-07,207.646,
1992-10,210.385,
1993-01,207.616,
1993-04,257.172,
1993-07,305.419,
1993-10,241.978,
1994-01,178.572,
1994-04,263.865,
1994-07,207.805,
1994-10,181.899,
1995-01,165.792,
1995-04,184.457,
1995-07,183.426,
1995-10,206.922,
1996-01,154.494,
1996-04,203.415,
1996-07,197.975,
1996-10,221.035,
1997-01,174.883,
1997-04,232.464,
1997-07,252.884,
1997-10,248.632,
1998-01,198.833,
1998-04,238.411,
1998-07,301.442,
1998-10,249.313,
1999-01,191.720,
1999-04,229.988,
1999-07,254.991,
1999-10,229.845,
2000-01,227.857,
2000-04,247.895,
2000-07,291.792,
2000-10,273.392,
2001-01,227.180,
2001-04,306.363,
2001-07,286.696,
2001-10,275.231,
2002-01,286.914,
2002-04,301.008,
2002-07,332.136,
2002-10,359.666,
2003-01,317.219,
2003-04,262.817,
2003-07,340.202,
2003-10,287.755,
2004-01,281.301,
2004-04,319.556,
2004-07,393.847,
2004-10,345.217,
2005-01,394.195,
2005-04,465.768,
2005-07,523.508,
2005-10,501.481,
2006-01,486.228,
2006-04,549.629,
2006-07,553.448,
2006-10,572.975,
2007-01,535.296,
2007-04,681.078,
2007-07,877.295,
2007-10,823.133,
2008-01,845.115,
2008-04,914.735,
2008-07,933.061,
2008-10,850.720,
2009-01,933.028,
2009-04,991.468,
2009-07,971.957,
2009-10,933.392,
2010-01,828.456,
2010-04,1062.612,
2010-07,1066.124,
2010-10,1014.635,
2011-01,853.860,
2011-04,837.006,
2011-07,822.806,
2011-10,854.521,
2012-01,795.673,
2012-04,914.121,
2012-07,966.680,
2012-10,893.603,
2013-01,800.345,
2013-04,1000.710,
2013-07,1170.128,
2013-10,1025.251,
2014-01,1017.638,Provisional value
2014-04,1059.164,Provisional value
2014-07,1045.404,Provisional value
