"",BBK01.OELB20N,BBK01.OELB20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:24,
2002-01,28.090,
2002-04,28.512,
2002-07,29.003,
2002-10,29.597,
2003-01,29.855,
2003-04,30.345,
2003-07,30.959,
2003-10,31.681,
2004-01,31.967,
2004-04,32.468,
2004-07,33.036,
2004-10,33.929,
2005-01,34.112,
2005-04,34.489,
2005-07,35.413,
2005-10,36.049,
2006-01,36.417,
2006-04,36.874,
2006-07,37.178,
2006-10,37.393,
2007-01,37.499,
2007-04,37.653,
2007-07,39.024,
2007-10,39.204,
2008-01,39.275,
2008-04,39.523,
2008-07,39.795,
2008-10,39.993,
2009-01,40.088,
2009-04,40.418,
2009-07,40.947,
2009-10,41.381,
2010-01,41.589,
2010-04,42.126,
2010-07,42.720,
2010-10,43.358,
2011-01,43.661,
2011-04,44.144,
2011-07,45.182,
2011-10,45.743,
2012-01,46.095,
2012-04,41.832,
2012-07,42.372,
2012-10,42.799,
2013-01,43.047,
2013-04,43.555,
2013-07,44.199,
2013-10,44.570,
2014-01,44.845,
2014-04,45.356,
2014-07,45.787,
