"",BBK01.OXA8H5,BBK01.OXA8H5_FLAGS
"",Long-term loans (including bills of exchange) to domestic general government - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:02,
1999-01,417.153,
1999-02,417.160,
1999-03,417.111,
1999-04,418.561,
1999-05,418.992,
1999-06,420.407,
1999-07,420.949,
1999-08,421.604,
1999-09,421.527,
1999-10,424.251,
1999-11,427.244,
1999-12,428.612,
2000-01,427.386,
2000-02,427.367,
2000-03,426.651,
2000-04,428.953,
2000-05,428.304,
2000-06,428.400,
2000-07,429.181,
2000-08,428.485,
2000-09,426.031,
2000-10,424.314,
2000-11,423.797,
2000-12,425.549,
2001-01,424.982,
2001-02,423.262,
2001-03,422.509,
2001-04,421.867,
2001-05,421.816,
2001-06,421.471,
2001-07,420.066,
2001-08,419.667,
2001-09,418.411,
2001-10,418.381,
2001-11,417.287,
2001-12,414.608,
2002-01,412.867,
2002-02,410.464,
2002-03,406.602,
2002-04,405.679,
2002-05,403.777,
2002-06,402.000,
2002-07,401.319,
2002-08,401.506,
2002-09,398.710,
2002-10,397.396,
2002-11,392.214,
2002-12,389.714,
2003-01,384.221,
2003-02,382.935,
2003-03,379.847,
2003-04,377.648,
2003-05,375.524,
2003-06,374.167,
2003-07,373.616,
2003-08,371.070,
2003-09,369.574,
2003-10,369.428,
2003-11,368.641,
2003-12,366.446,
2004-01,366.536,
2004-02,364.979,
2004-03,364.374,
2004-04,362.318,
2004-05,360.283,
2004-06,357.864,
2004-07,358.157,
2004-08,357.435,
2004-09,356.652,
2004-10,354.948,
2004-11,354.603,
2004-12,354.761,
2005-01,352.845,
2005-02,353.159,
2005-03,351.813,
2005-04,348.670,
2005-05,346.827,
2005-06,348.114,
2005-07,348.306,
2005-08,346.643,
2005-09,345.255,
2005-10,341.980,
2005-11,341.338,
2005-12,341.404,
2006-01,337.771,
2006-02,336.282,
2006-03,333.415,
2006-04,332.163,
2006-05,331.550,
2006-06,327.852,
2006-07,326.536,
2006-08,325.340,
2006-09,325.625,
2006-10,324.995,
2006-11,326.981,
2006-12,326.627,
2007-01,324.216,
2007-02,321.799,
2007-03,316.453,
2007-04,313.626,
2007-05,311.591,
2007-06,311.122,
2007-07,309.711,
2007-08,308.385,
2007-09,305.721,
2007-10,301.623,
2007-11,300.024,
2007-12,300.646,
2008-01,295.075,
2008-02,291.070,
2008-03,289.145,
2008-04,289.010,
2008-05,288.838,
2008-06,287.340,
2008-07,285.682,
2008-08,284.567,
2008-09,282.756,
2008-10,282.104,
2008-11,281.354,
2008-12,278.503,
2009-01,275.648,
2009-02,273.186,
2009-03,270.370,
2009-04,270.317,
2009-05,269.774,
2009-06,269.599,
2009-07,270.346,
2009-08,270.099,
2009-09,268.446,
2009-10,268.798,
2009-11,266.209,
2009-12,265.799,
2010-01,265.549,
2010-02,263.157,
2010-03,261.765,
2010-04,261.572,
2010-05,263.615,
2010-06,262.616,
2010-07,262.063,
2010-08,262.594,
2010-09,263.631,
2010-10,263.658,
2010-11,264.636,
2010-12,265.137,
2011-01,263.802,
2011-02,263.428,
2011-03,262.510,
2011-04,261.057,
2011-05,261.823,
2011-06,259.687,
2011-07,259.484,
2011-08,259.776,
2011-09,259.440,
2011-10,257.888,
2011-11,259.064,
2011-12,257.960,
2012-01,257.188,
2012-02,256.387,
2012-03,255.761,
2012-04,256.227,
2012-05,255.076,
2012-06,255.541,
2012-07,254.423,
2012-08,253.725,
2012-09,252.796,
2012-10,253.004,
2012-11,253.370,
2012-12,253.284,
2013-01,252.411,
2013-02,251.375,
2013-03,250.789,
2013-04,251.385,
2013-05,251.825,
2013-06,251.411,
2013-07,251.399,
2013-08,251.317,
2013-09,249.872,
2013-10,250.434,
2013-11,251.254,
2013-12,249.669,
2014-01,249.212,
2014-02,248.626,
2014-03,248.798,
2014-04,248.360,
2014-05,247.401,
2014-06,245.372,
2014-07,245.376,
2014-08,247.022,
2014-09,245.451,
2014-10,246.265,
2014-11,246.335,
2014-12,249.616,Provisional value
