"",BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.L,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.L_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Rest of the World / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:56,
1950-01,0.26,
1950-02,0.27,
1950-03,0.29,
1950-04,0.29,
1950-05,0.31,
1950-06,0.33,
1950-07,0.36,
1950-08,0.38,
1950-09,0.36,
1950-10,0.45,
1950-11,0.50,
1950-12,0.44,
1951-01,0.53,
1951-02,0.56,
1951-03,0.56,
1951-04,0.59,
1951-05,0.59,
1951-06,0.63,
1951-07,0.66,
1951-08,0.66,
1951-09,0.74,
1951-10,0.61,
1951-11,0.59,
1951-12,0.70,
1952-01,0.75,
1952-02,0.71,
1952-03,0.69,
1952-04,0.69,
1952-05,0.71,
1952-06,0.74,
1952-07,0.72,
1952-08,0.71,
1952-09,0.75,
1952-10,0.71,
1952-11,0.71,
1952-12,0.76,
1953-01,0.72,
1953-02,0.70,
1953-03,0.74,
1953-04,0.81,
1953-05,0.76,
1953-06,0.78,
1953-07,0.76,
1953-08,0.79,
1953-09,0.78,
1953-10,0.83,
1953-11,0.85,
1953-12,0.92,
1954-01,0.88,
1954-02,0.85,
1954-03,0.93,
1954-04,0.88,
1954-05,0.93,
1954-06,0.88,
1954-07,0.94,
1954-08,0.98,
1954-09,0.96,
1954-10,0.98,
1954-11,1.01,
1954-12,0.98,
1955-01,1.05,
1955-02,1.07,
1955-03,1.07,
1955-04,1.06,
1955-05,1.09,
1955-06,1.00,
1955-07,1.09,
1955-08,1.04,
1955-09,1.09,
1955-10,1.15,
1955-11,1.15,
1955-12,1.17,
1956-01,1.23,
1956-02,1.10,
1956-03,1.16,
1956-04,1.42,
1956-05,1.26,
1956-06,1.38,
1956-07,1.32,
1956-08,1.28,
1956-09,1.40,
1956-10,1.39,
1956-11,1.40,
1956-12,1.39,
1957-01,1.40,
1957-02,1.50,
1957-03,1.59,
1957-04,1.47,
1957-05,1.56,
1957-06,1.55,
1957-07,1.52,
1957-08,1.64,
1957-09,1.52,
1957-10,1.57,
1957-11,1.57,
1957-12,1.51,
1958-01,1.49,
