"",BBFN1.M.DE.N.1.A.TH.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:36,
1994-07,0.460,
1994-08,0.504,
1994-09,0.597,
1994-10,0.568,
1994-11,0.490,
1994-12,0.488,
1995-01,0.491,
1995-02,0.434,
1995-03,0.453,
1995-04,0.473,
1995-05,0.471,
1995-06,0.485,
1995-07,0.522,
1995-08,0.557,
1995-09,0.561,
1995-10,0.485,
1995-11,0.527,
1995-12,0.595,
1996-01,0.546,
1996-02,0.590,
1996-03,0.624,
1996-04,0.618,
1996-05,0.613,
1996-06,0.661,
1996-07,0.694,
1996-08,0.607,
1996-09,0.615,
1996-10,0.637,
1996-11,0.687,
1996-12,0.667,
1997-01,0.645,
1997-02,0.663,
1997-03,0.741,
1997-04,0.701,
1997-05,0.743,
1997-06,0.764,
1997-07,0.758,
1997-08,0.745,
1997-09,0.728,
1997-10,0.740,
1997-11,0.725,
1997-12,0.716,
1998-01,0.655,
1998-02,0.752,
1998-03,0.712,
1998-04,0.697,
1998-05,0.697,
1998-06,0.658,
1998-07,0.663,
1998-08,0.642,
1998-09,0.635,
1998-10,0.591,
1998-11,0.665,
1998-12,0.603,
1999-01,0.601,
1999-02,0.604,
1999-03,0.586,
1999-04,0.511,
1999-05,0.610,
1999-06,0.647,
1999-07,0.568,
1999-08,0.597,
1999-09,0.603,
1999-10,0.595,
1999-11,0.552,
1999-12,0.586,
2000-01,0.567,
2000-02,0.567,
2000-03,0.569,
2000-04,0.562,
2000-05,0.571,
2000-06,0.543,
2000-07,0.528,
2000-08,0.520,
2000-09,0.564,
2000-10,0.592,
2000-11,0.596,
2000-12,0.607,
2001-01,0.573,
2001-02,0.527,
2001-03,0.545,
2001-04,0.553,
2001-05,0.589,
2001-06,0.601,
2001-07,0.586,
2001-08,0.510,
2001-09,0.516,
2001-10,0.509,
2001-11,0.480,
2001-12,0.476,
2002-01,0.476,
2002-02,0.457,
2002-03,0.464,
2002-04,0.458,
2002-05,0.449,
2002-06,0.459,
2002-07,0.469,
2002-08,0.443,
2002-09,0.456,
2002-10,0.452,
2002-11,0.478,
2002-12,0.468,
2003-01,0.432,
2003-02,0.397,
2003-03,0.421,
2003-04,0.406,
2003-05,0.390,
2003-06,0.385,
2003-07,0.375,
2003-08,0.342,
2003-09,0.342,
2003-10,0.336,
2003-11,0.328,
2003-12,0.294,
2004-01,0.295,
2004-02,0.304,
2004-03,0.310,
2004-04,0.323,
2004-05,0.326,
2004-06,0.342,
2004-07,0.343,
2004-08,0.343,
2004-09,0.324,
2004-10,0.326,
2004-11,0.315,
2004-12,0.347,
2005-01,0.353,
2005-02,0.339,
2005-03,0.325,
2005-04,0.318,
2005-05,0.320,
2005-06,0.325,
2005-07,0.335,
2005-08,0.321,
2005-09,0.305,
2005-10,0.313,
2005-11,0.332,
2005-12,0.324,
2006-01,0.314,
2006-02,0.310,
2006-03,0.312,
2006-04,0.323,
2006-05,0.334,
2006-06,0.347,
2006-07,0.332,
2006-08,0.345,
2006-09,0.348,
2006-10,0.339,
2006-11,0.381,
2006-12,0.345,
2007-01,0.338,
2007-02,0.345,
2007-03,0.362,
2007-04,0.356,
2007-05,0.352,
2007-06,0.367,
2007-07,0.403,
2007-08,0.389,
2007-09,0.411,
2007-10,0.437,
2007-11,0.450,
2007-12,0.448,
2008-01,0.438,
2008-02,0.429,
2008-03,0.440,
2008-04,0.462,
2008-05,0.477,
2008-06,0.452,
2008-07,0.459,
2008-08,0.439,
2008-09,0.455,
2008-10,0.450,
2008-11,0.448,
2008-12,0.416,
2009-01,0.301,
2009-02,0.310,
2009-03,0.331,
2009-04,0.330,
2009-05,0.316,
2009-06,0.310,
2009-07,0.327,
2009-08,0.334,
2009-09,0.347,
2009-10,0.367,
2009-11,0.359,
2009-12,0.380,
2010-01,0.381,
2010-02,0.373,
2010-03,0.369,
2010-04,0.383,
2010-05,0.441,
2010-06,0.435,
2010-07,0.416,
2010-08,0.421,
2010-09,0.409,
2010-10,0.428,
2010-11,0.437,
2010-12,0.433,
2011-01,0.394,
2011-02,0.419,
2011-03,0.448,
2011-04,0.480,
2011-05,0.471,
2011-06,0.493,
2011-07,0.493,
2011-08,0.514,
2011-09,0.463,
2011-10,0.462,
2011-11,0.470,
2011-12,0.462,
2012-01,0.525,
2012-02,0.576,
2012-03,0.576,
2012-04,0.607,
2012-05,0.664,
2012-06,0.732,
2012-07,0.721,
2012-08,0.748,
2012-09,0.759,
2012-10,0.729,
2012-11,0.716,
2012-12,0.721,
2013-01,0.701,
2013-02,0.656,
2013-03,0.700,
2013-04,0.759,
2013-05,0.736,
2013-06,0.789,
2013-07,0.772,
2013-08,0.678,
2013-09,0.691,
2013-10,0.659,
2013-11,0.642,
2013-12,0.651,
2014-01,0.630,
2014-02,0.580,
2014-03,0.608,
2014-04,0.633,
2014-05,0.668,
2014-06,0.679,
2014-07,0.720,
2014-08,0.721,
2014-09,0.741,
2014-10,0.752,
2014-11,0.760,
2014-12,0.764,
