"",BBSF2.M.1.T.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Bonds funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:26,
2009-09,1435,
2009-10,1448,
2009-11,1337,
2009-12,535,
2010-01,1644,
2010-02,905,
2010-03,687,
2010-04,807,
2010-05,577,
2010-06,777,
2010-07,757,
2010-08,619,
2010-09,665,
2010-10,439,
2010-11,519,
2010-12,385,
2011-01,310,
2011-02,719,
2011-03,506,
2011-04,552,
2011-05,410,
2011-06,447,
2011-07,600,
2011-08,648,
2011-09,1076,
2011-10,1013,
2011-11,604,
2011-12,840,
2012-01,569,
2012-02,568,
2012-03,679,
2012-04,1074,
2012-05,1015,
2012-06,1042,
2012-07,859,
2012-08,992,
2012-09,870,
2012-10,1257,
2012-11,1336,
2012-12,1447,
2013-01,1398,
2013-02,1266,
2013-03,1538,
2013-04,1773,
2013-05,1966,
2013-06,2245,
2013-07,2376,
2013-08,2015,
2013-09,1830,
2013-10,1731,
2013-11,1172,
2013-12,1066,
2014-01,1361,
2014-02,1418,
2014-03,1308,
2014-04,1490,
2014-05,2381,
2014-06,2355,
2014-07,2667,
2014-08,2528,
2014-09,2331,
2014-10,1287,
2014-11,1181,
