"",BBK01.OECB20S,BBK01.OECB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:57,
2002-01,0.966,
2002-04,0.971,
2002-07,0.974,
2002-10,0.960,
2003-01,0.957,
2003-04,0.963,
2003-07,0.968,
2003-10,0.968,
2004-01,0.964,
2004-04,0.965,
2004-07,0.969,
2004-10,0.953,
2005-01,1.882,
2005-04,1.916,
2005-07,1.960,
2005-10,2.010,
2006-01,2.059,
2006-04,2.096,
2006-07,2.150,
2006-10,2.236,
2007-01,2.264,
2007-04,2.411,
2007-07,2.448,
2007-10,2.464,
2008-01,2.493,
2008-04,2.517,
2008-07,2.592,
2008-10,2.602,
2009-01,2.619,
2009-04,3.139,
2009-07,3.149,
2009-10,3.160,
2010-01,3.169,
2010-04,3.187,
2010-07,3.204,
2010-10,3.122,
2011-01,3.254,
2011-04,3.257,
2011-07,3.261,
2011-10,3.271,
2012-01,3.295,
2012-04,3.318,
2012-07,3.339,
2012-10,3.346,
2013-01,3.379,
2013-04,3.401,
2013-07,3.430,
2013-10,3.472,
2014-01,3.495,
2014-04,3.550,
2014-07,3.604,
