"",BBSF2.M.1.S.I1252.AKT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.AKT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:05,
2009-09,15978,
2009-10,15413,
2009-11,15276,
2009-12,15641,
2010-01,14536,
2010-02,14518,
2010-03,15161,
2010-04,15644,
2010-05,15141,
2010-06,15125,
2010-07,15385,
2010-08,15337,
2010-09,15369,
2010-10,15513,
2010-11,15892,
2010-12,15991,
2011-01,15846,
2011-02,16235,
2011-03,16157,
2011-04,16583,
2011-05,17056,
2011-06,16762,
2011-07,16875,
2011-08,16026,
2011-09,15280,
2011-10,15870,
2011-11,15474,
2011-12,15772,
2012-01,15444,
2012-02,15598,
2012-03,15754,
2012-04,15720,
2012-05,16215,
2012-06,16363,
2012-07,16345,
2012-08,15937,
2012-09,16087,
2012-10,16110,
2012-11,16513,
2012-12,16377,
2013-01,16690,
2013-02,16874,
2013-03,17692,
2013-04,18182,
2013-05,18635,
2013-06,18221,
2013-07,18720,
2013-08,18726,
2013-09,19578,
2013-10,20541,
2013-11,21610,
2013-12,21613,
2014-01,21279,
2014-02,21874,
2014-03,21820,
2014-04,22482,
2014-05,23140,
2014-06,23233,
2014-07,23892,
2014-08,24356,
2014-09,24508,
2014-10,25096,
2014-11,25750,
