"",BBK01.OEAO04H,BBK01.OEAO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:45,
2002-01,-1.094,
2002-04,-2.041,
2002-07,-0.565,
2002-10,0.415,
2003-01,-0.104,
2003-04,-0.362,
2003-07,0.065,
2003-10,0.464,
2004-01,0.065,
2004-04,0.021,
2004-07,0.606,
2004-10,0.922,
2005-01,0.134,
2005-04,-0.342,
2005-07,-0.518,
2005-10,-0.601,
2006-01,-0.901,
2006-04,-1.370,
2006-07,-2.142,
2006-10,-2.217,
2007-01,-2.437,
2007-04,-2.488,
2007-07,-2.528,
2007-10,-2.032,
2008-01,-2.831,
2008-04,-2.356,
2008-07,-3.339,
2008-10,-0.277,
2009-01,2.724,
2009-04,3.110,
2009-07,3.351,
2009-10,2.975,
2010-01,2.300,
2010-04,0.890,
2010-07,0.830,
2010-10,1.550,
2011-01,1.040,
2011-04,-0.783,
2011-07,-1.097,
2011-10,0.500,
2012-01,1.203,
2012-04,-0.689,
2012-07,-0.319,
2012-10,-0.016,
2013-01,-0.551,
2013-04,-1.607,
2013-07,-1.673,
2013-10,-0.388,
2014-01,-1.115,
2014-04,-0.822,
2014-07,-0.454,
